Subject Number, Block, Trial Number, Dynomometer Response, Duration
6,NA,ITI,NA,1000
6,study,1,0,1000
6,study,study,NA,NA
6,NA,ITI,NA,1000
6,study,2,0,1500
6,study,study,NA,NA
6,NA,ITI,NA,1000
6,study,3,0,1000
6,study,study,NA,NA
6,NA,ITI,NA,1000
6,study,4,1,1500
6,study,study,NA,NA
6,NA,ITI,NA,1000
6,study,5,2,1000
6,study,study,NA,NA
6,NA,ITI,NA,1000
6,study,6,0,1500
6,study,study,NA,NA
6,NA,ITI,NA,1000
6,study,7,0,1000
6,study,study,NA,NA
6,NA,ITI,NA,1000
6,study,8,0,1500
6,study,study,NA,NA
6,NA,ITI,NA,1000
6,study,9,0,1000
6,study,study,NA,NA
6,NA,ITI,NA,1000
6,study,10,0,1500
6,study,study,NA,NA
6,NA,End of Block,NA,NA
6,NA,ITI,NA,1000
6,NA,Break,NA,NA
6,NA,ITI,NA,1000
6,NA,ITI,NA,1893
6,NA,Practice,3,NA
6,NA,ITI,NA,1332
6,NA,Practice,4,NA
6,NA,ITI,NA,1822
6,NA,Practice,4,NA
6,NA,ITI,NA,1041
6,NA,Practice,3,NA
6,NA,ITI,NA,1107
6,NA,Practice,3,NA
6,NA,ITI,NA,1595
6,NA,Practice,4,NA
6,NA,ITI,NA,1530
6,NA,Practice,3,NA
6,NA,ITI,NA,1419
6,NA,Practice,3,NA
6,NA,ITI,NA,1335
6,NA,Practice,4,NA
6,NA,ITI,NA,1623
6,NA,Practice,3,NA
6,NA,ITI,NA,1438
6,NA,Practice,3,NA
6,NA,ITI,NA,1736
6,NA,Practice,4,NA
6,NA,ITI,NA,1518
6,NA,Practice,4,NA
6,NA,ITI,NA,1579
6,NA,Practice,4,NA
6,NA,ITI,NA,1646
6,NA,Practice,3,NA
6,NA,ITI,NA,1991
6,NA,Practice,3,NA
6,NA,ITI,NA,1820
6,NA,Practice,4,NA
6,NA,ITI,NA,1413
6,NA,Practice,3,NA
6,NA,ITI,NA,1877
6,NA,Practice,3,NA
6,NA,ITI,NA,1824
6,NA,Practice,4,NA
6,NA,ITI,NA,1054
