Subject Number, Block, Trial Number, Dynomometer Response, Duration
36,NA,ITI,NA,1000
36,study,1,0,1000
36,study,study,NA,NA
36,NA,ITI,NA,1000
36,study,2,0,1500
36,study,study,NA,NA
36,NA,ITI,NA,1000
36,study,3,0,1000
36,study,study,NA,NA
36,NA,ITI,NA,1000
36,study,4,0,1500
36,study,study,NA,NA
36,NA,ITI,NA,1000
36,study,5,0,1000
36,study,study,NA,NA
36,NA,ITI,NA,1000
36,study,6,0,1500
36,study,study,NA,NA
36,NA,ITI,NA,1000
36,study,7,0,1000
36,study,study,NA,NA
36,NA,ITI,NA,1000
36,study,8,0,1500
36,study,study,NA,NA
36,NA,ITI,NA,1000
36,study,9,0,1000
36,study,study,NA,NA
36,NA,ITI,NA,1000
36,study,10,0,1500
36,study,study,NA,NA
36,NA,End of Block,NA,NA
36,NA,ITI,NA,1000
36,NA,Break,NA,NA
36,NA,ITI,NA,1000
36,NA,ITI,NA,1729
36,NA,Practice,4,NA
36,NA,ITI,NA,1602
36,NA,Practice,3,NA
36,NA,ITI,NA,1953
36,NA,Practice,3,NA
36,NA,ITI,NA,1143
36,NA,Practice,3,NA
36,NA,ITI,NA,1808
36,NA,Practice,4,NA
36,NA,ITI,NA,1363
36,NA,Practice,3,NA
36,NA,ITI,NA,1186
36,NA,Practice,4,NA
36,NA,ITI,NA,1259
36,NA,Practice,4,NA
36,NA,ITI,NA,1630
36,NA,Practice,3,NA
36,NA,ITI,NA,1032
36,NA,Practice,3,NA
36,NA,ITI,NA,1948
36,NA,Practice,3,NA
36,NA,ITI,NA,1905
36,NA,Practice,4,NA
36,NA,ITI,NA,1550
36,NA,Practice,3,NA
36,NA,ITI,NA,1197
36,NA,Practice,3,NA
36,NA,ITI,NA,1232
36,NA,Practice,4,NA
36,NA,ITI,NA,1002
36,NA,Practice,3,NA
36,NA,ITI,NA,1226
36,NA,Practice,3,NA
36,NA,ITI,NA,1375
36,NA,Practice,4,NA
36,NA,ITI,NA,1453
36,NA,Practice,4,NA
36,NA,ITI,NA,1246
36,NA,Practice,3,NA
36,NA,ITI,NA,1460
36,NA,Practice,4,NA
36,NA,ITI,NA,1210
36,NA,Practice,3,NA
36,NA,ITI,NA,1671
36,NA,Practice,4,NA
36,NA,ITI,NA,1452
36,NA,Practice,3,NA
36,NA,ITI,NA,1593
36,NA,Practice,3,NA
36,NA,Break,NA,NA
36,NA,ITI,NA,1000
36,NA,ITI,NA,1518
36,NA,test,4,NA
36,NA,ITI,NA,1562
36,NA,test,4,NA
36,NA,ITI,NA,1813
36,NA,test,4,NA
36,NA,ITI,NA,1994
36,NA,test,4,NA
36,NA,ITI,NA,1736
36,NA,test,4,NA
36,NA,ITI,NA,1891
36,NA,test,3,NA
36,NA,ITI,NA,1423
36,NA,test,4,NA
36,NA,ITI,NA,1124
36,NA,test,3,NA
36,NA,ITI,NA,1775
36,NA,test,4,NA
36,NA,ITI,NA,1385
36,NA,test,4,NA
36,NA,ITI,NA,1998
36,NA,test,4,NA
36,NA,ITI,NA,1424
36,NA,test,3,NA
36,NA,ITI,NA,1530
36,NA,test,3,NA
36,NA,ITI,NA,1177
36,NA,test,3,NA
36,NA,ITI,NA,1717
36,NA,test,4,NA
36,NA,ITI,NA,1011
36,NA,test,3,NA
36,NA,ITI,NA,1840
36,NA,test,3,NA
36,NA,ITI,NA,1772
36,NA,test,4,NA
36,NA,ITI,NA,1959
36,NA,test,3,NA
36,NA,ITI,NA,1952
36,NA,test,4,NA
36,NA,ITI,NA,1633
36,NA,test,4,NA
36,NA,ITI,NA,1254
36,NA,test,4,NA
36,NA,ITI,NA,1004
36,NA,test,3,NA
36,NA,ITI,NA,1961
36,NA,test,4,NA
