Scenario - Timing Task
Logfile written - 02/25/2019 17:43:19

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	1	Picture	Instruction	500	0	1	11961342	1	0	next	other	0
1	1	Response	4	8530983	8530483	1
1	1	Response	4	8532233	8531733	1
1	1	Response	4	8533483	8532983	1
1	1	Response	4	8544913	8544413	1
1	1	Response	3	9493533	9493034	1
1	1	Response	4	9493533	9493034	1
1	1	Response	4	9494846	9494346	1
1	1	Response	4	9496096	9495596	1
1	1	Response	4	9497346	9496846	1
1	1	Response	4	9508776	9508277	1
1	1	Response	3	9760015	9759515	1
1	1	Response	4	9760015	9759515	1
1	1	Response	4	9761327	9760827	1
1	1	Response	4	9762577	9762077	1
1	1	Response	4	9763827	9763327	1
1	1	Response	4	9775257	9774758	1
1	1	Response	3	10302534	10302034	1
1	1	Response	4	10302534	10302034	1
1	1	Response	4	10303846	10303346	1
1	1	Response	4	10305096	10304596	1
1	1	Response	4	10306346	10305846	1
1	1	Response	4	10317777	10317277	1
1	1	Response	3	11473360	11472861	1
1	1	Response	4	11473360	11472861	1
1	1	Response	4	11474673	11474173	1
1	1	Response	4	11475923	11475423	1
1	1	Response	4	11477172	11476673	1
1	1	Response	4	11488603	11488104	1
1	1	Response	3	11727282	11726783	1
1	1	Response	4	11727282	11726783	1
1	1	Response	4	11728595	11728095	1
1	1	Response	4	11729844	11729345	1
1	1	Response	4	11731094	11730595	1
1	1	Response	4	11742525	11742026	1
1	1	Response	3	11828121	11827621	1
1	1	Response	4	11828121	11827621	1
1	1	Response	4	11830387	11829887	1
1	1	Response	4	11831637	11831137	1
1	1	Response	4	11832887	11832387	1
1	1	Response	4	11844317	11843817	1
1	1	Response	3	11921574	11921074	1
1	1	Response	4	11924820	11924321	1
1	1	Response	3	11929648	11929149	1
1	1	Response	1	11961772	11961272	0
1	2	Picture	ITI	11961841	0	1	11496	1	0	next	other	0
1	3	Sound	Stimuli	11972455	0	743			0		other	0
1	4	Picture	Feedback	12003160	0	1	20160	1	0	next	other	0
1	5	Picture	ITI	12023320	0	1	10163	1	0	next	other	0
1	6	Sound	Stimuli	12033321	0	1			0		other	0
1	7	Picture	Feedback	12068304	0	1	20160	1	0	next	other	0
1	8	Picture	ITI	12088464	0	1	10163	1	0	next	other	0
1	9	Sound	Stimuli	12098465	0	1			0		other	0
1	10	Picture	Feedback	12128617	0	1	20160	1	0	next	other	0
1	11	Picture	ITI	12148776	0	1	10163	1	0	next	other	0
1	12	Sound	Stimuli	12158778	0	1			0		other	0
1	13	Picture	Feedback	12193927	0	1	20160	1	0	next	other	0
1	14	Picture	ITI	12214087	0	1	10163	1	0	next	other	0
1	15	Sound	Stimuli	12224088	0	1			0		other	0
1	16	Picture	Feedback	12254240	0	1	20160	1	0	next	other	0
1	17	Picture	ITI	12274399	0	1	10163	1	0	next	other	0
1	18	Sound	Stimuli	12284401	0	1			0		other	0
1	19	Picture	Feedback	12319384	0	1	20160	1	0	next	other	0
1	20	Picture	ITI	12339543	0	1	10163	1	0	next	other	0
1	21	Sound	Stimuli	12349545	0	1			0		other	0
1	22	Picture	Feedback	12379696	0	1	20160	1	0	next	other	0
1	22	Response	4	12380340	644	1
1	22	Response	4	12391771	12075	1
1	23	Picture	ITI	12399856	0	1	10163	1	0	next	other	0
1	24	Sound	Stimuli	12409857	0	1			0		other	0
1	25	Picture	Feedback	12445007	0	1	20160	1	0	next	other	0
1	26	Picture	ITI	12465166	0	1	10163	1	0	next	other	0
1	27	Sound	Stimuli	12475168	0	1			0		other	0
1	28	Picture	Feedback	12505319	0	1	20160	1	0	next	other	0
1	29	Picture	ITI	12525479	0	1	10163	1	0	next	other	0
1	30	Sound	Stimuli	12535480	0	1			0		other	0
1	31	Picture	Feedback	12570630	0	1	20326	1	0	next	other	0
1	32	Picture	End_Block	12590956	0	1	258743	1	0	next	other	0
1	32	Response	3	12811290	220334	1
1	32	Response	4	12811290	220334	1
1	32	Response	4	12812602	221646	1
1	32	Response	4	12813852	222896	1
1	32	Response	4	12815102	224146	1
1	32	Response	4	12826532	235576	1
1	32	Response	1	12849595	258639	0
1	33	Picture	ITI	12849699	0	1	10163	1	0	next	other	0
1	34	Picture	Break	12859863	0	1	24825	1	0	next	other	0
1	34	Response	1	12884634	24772	0
1	35	Picture	ITI	12884687	0	1	10163	1	0	next	other	0
1	36	Picture	Instruction	12894850	0	1	82471	1	0	next	other	0
1	36	Response	1	12977272	82422	0
1	37	Picture	ITI	12977322	0	1	36987	1	0	next	other	0
1	38	Sound	Practice	12991493	0	1			0		hit	236
1	38	Response	4	13014219	22726	1
1	39	Picture	ITI	13024305	0	1	37154	1	0	next	other	0
1	40	Sound	Practice	13041517	0	1			0		hit	239
1	40	Response	4	13061285	19768	1
1	41	Picture	ITI	13071456	0	1	29990	1	0	next	other	0
1	42	Sound	Practice	13081457	0	1			0		hit	242
1	42	Response	3	13101365	19907	1
1	43	Picture	ITI	13111442	0	1	31322	1	0	next	other	0
1	44	Sound	Practice	13124463	0	1			0		hit	245
1	44	Response	4	13142631	18167	1
1	45	Picture	ITI	13152761	0	1	26991	1	0	next	other	0
1	46	Sound	Practice	13164222	0	1			0		hit	248
1	46	Response	3	13179569	15346	1
1	47	Picture	ITI	13189748	0	1	26324	1	0	next	other	0
1	48	Sound	Practice	13200669	0	1			0		hit	251
1	48	Response	3	13215996	15327	1
1	49	Picture	ITI	13226069	0	1	27157	1	0	next	other	0
1	50	Sound	Practice	13237930	0	1			0		hit	254
1	50	Response	3	13253090	15160	1
1	51	Picture	ITI	13263222	0	1	32489	1	0	next	other	0
1	52	Sound	Practice	13276674	0	1			0		hit	257
1	52	Response	4	13295542	18868	1
1	53	Picture	ITI	13305708	0	1	33155	1	0	next	other	0
1	54	Sound	Practice	13319679	0	1			0		hit	260
1	54	Response	4	13338817	19138	1
1	55	Picture	ITI	13348859	0	1	37320	1	0	next	other	0
1	56	Sound	Practice	13364251	0	1			0		hit	263
1	56	Response	4	13386128	21877	1
1	57	Picture	ITI	13396176	0	1	41152	1	0	next	other	0
1	58	Sound	Practice	13410368	0	1			0		incorrect	266
1	58	Response	4	13437185	26818	1
1	59	Picture	ITI	13447325	0	1	32155	1	0	next	other	0
1	60	Sound	Practice	13464177	0	1			0		hit	269
1	60	Response	4	13479381	15204	1
1	61	Picture	ITI	13489477	0	1	41486	1	0	next	other	0
1	61	Response	4	13493309	3832	1
