Subject Number, Block, Trial Number, Dynomometer Response, Duration
38,NA,ITI,NA,1000
38,study,1,0,1000
38,study,study,NA,NA
38,NA,ITI,NA,1000
38,study,2,0,1500
38,study,study,NA,NA
38,NA,ITI,NA,1000
38,study,3,0,1000
38,study,study,NA,NA
38,NA,ITI,NA,1000
38,study,4,0,1500
38,study,study,NA,NA
38,NA,ITI,NA,1000
38,study,5,0,1000
38,study,study,NA,NA
38,NA,ITI,NA,1000
38,study,6,0,1500
38,study,study,NA,NA
38,NA,ITI,NA,1000
38,study,7,0,1000
38,study,study,NA,NA
38,NA,ITI,NA,1000
38,study,8,0,1500
38,study,study,NA,NA
38,NA,ITI,NA,1000
38,study,9,0,1000
38,study,study,NA,NA
38,NA,ITI,NA,1000
38,study,10,0,1500
38,study,study,NA,NA
38,NA,End of Block,NA,NA
38,NA,ITI,NA,1000
38,NA,Break,NA,NA
38,NA,ITI,NA,1000
38,NA,ITI,NA,1385
38,NA,Practice,0,NA
38,NA,ITI,NA,1860
38,NA,Practice,0,NA
38,NA,ITI,NA,1945
38,NA,Practice,0,NA
38,NA,ITI,NA,1703
38,NA,Practice,0,NA
38,NA,ITI,NA,1634
38,NA,Practice,0,NA
38,NA,ITI,NA,1606
38,NA,Practice,1,NA
38,NA,ITI,NA,1200
38,NA,Practice,0,NA
38,NA,ITI,NA,1387
38,NA,Practice,2,NA
38,NA,ITI,NA,1259
38,NA,Practice,0,NA
38,NA,ITI,NA,1074
38,NA,Practice,1,NA
38,NA,ITI,NA,1281
38,NA,Practice,2,NA
38,NA,ITI,NA,1438
38,NA,Practice,1,NA
38,NA,ITI,NA,1483
38,NA,Practice,0,NA
38,NA,ITI,NA,1869
38,NA,Practice,4,NA
38,NA,ITI,NA,1530
38,NA,Practice,3,NA
38,NA,ITI,NA,1562
38,NA,Practice,3,NA
38,NA,ITI,NA,1471
38,NA,Practice,4,NA
38,NA,ITI,NA,1689
38,NA,Practice,4,NA
38,NA,ITI,NA,1505
38,NA,Practice,4,NA
38,NA,ITI,NA,1823
38,NA,Practice,3,NA
38,NA,ITI,NA,1961
38,NA,Practice,4,NA
38,NA,ITI,NA,1859
38,NA,Practice,4,NA
38,NA,ITI,NA,1309
38,NA,Practice,4,NA
38,NA,ITI,NA,1550
38,NA,Practice,4,NA
38,NA,ITI,NA,1655
38,NA,Practice,3,NA
38,NA,ITI,NA,1951
38,NA,Practice,4,NA
38,NA,ITI,NA,1975
38,NA,Practice,4,NA
38,NA,ITI,NA,1448
38,NA,Practice,3,NA
38,NA,ITI,NA,1800
38,NA,Practice,3,NA
38,NA,ITI,NA,1729
38,NA,Practice,4,NA
38,NA,ITI,NA,1088
38,NA,Practice,4,NA
38,NA,ITI,NA,1793
38,NA,Practice,4,NA
38,NA,Break,NA,NA
38,NA,ITI,NA,1000
38,NA,ITI,NA,1706
38,NA,test,3,NA
38,NA,ITI,NA,1874
38,NA,test,3,NA
38,NA,ITI,NA,1119
