Subject Number, Block, Trial Number, Dynomometer Response, Duration
37,NA,ITI,NA,1000
37,study,1,0,1000
37,study,study,NA,NA
37,NA,ITI,NA,1000
37,study,2,0,1500
37,study,study,NA,NA
37,NA,ITI,NA,1000
37,study,3,0,1000
37,study,study,NA,NA
37,NA,ITI,NA,1000
37,study,4,0,1500
37,study,study,NA,NA
37,NA,ITI,NA,1000
37,study,5,0,1000
37,study,study,NA,NA
37,NA,ITI,NA,1000
37,study,6,0,1500
37,study,study,NA,NA
37,NA,ITI,NA,1000
37,study,7,0,1000
37,study,study,NA,NA
37,NA,ITI,NA,1000
37,study,8,0,1500
37,study,study,NA,NA
37,NA,ITI,NA,1000
37,study,9,0,1000
37,study,study,NA,NA
37,NA,ITI,NA,1000
37,study,10,0,1500
37,study,study,NA,NA
37,NA,End of Block,NA,NA
37,NA,ITI,NA,1000
37,NA,Break,NA,NA
37,NA,ITI,NA,1000
37,NA,ITI,NA,1945
37,NA,Practice,3,NA
37,NA,ITI,NA,1464
37,NA,Practice,4,NA
37,NA,ITI,NA,1192
37,NA,Practice,4,NA
37,NA,ITI,NA,1582
37,NA,Practice,3,NA
37,NA,ITI,NA,1620
37,NA,Practice,4,NA
37,NA,ITI,NA,1684
37,NA,Practice,3,NA
37,NA,ITI,NA,1103
37,NA,Practice,4,NA
37,NA,ITI,NA,1746
37,NA,Practice,4,NA
37,NA,ITI,NA,1282
37,NA,Practice,3,NA
37,NA,ITI,NA,1754
37,NA,Practice,3,NA
37,NA,ITI,NA,1793
37,NA,Practice,4,NA
37,NA,ITI,NA,1628
37,NA,Practice,4,NA
37,NA,ITI,NA,1443
37,NA,Practice,3,NA
37,NA,ITI,NA,1964
37,NA,Practice,4,NA
37,NA,ITI,NA,1897
37,NA,Practice,4,NA
37,NA,ITI,NA,1197
37,NA,Practice,3,NA
37,NA,ITI,NA,1596
37,NA,Practice,3,NA
37,NA,ITI,NA,1573
37,NA,Practice,4,NA
37,NA,ITI,NA,1705
37,NA,Practice,4,NA
37,NA,ITI,NA,1930
37,NA,Practice,4,NA
37,NA,ITI,NA,1051
37,NA,Practice,3,NA
37,NA,ITI,NA,1134
37,NA,Practice,4,NA
37,NA,ITI,NA,1117
37,NA,Practice,3,NA
37,NA,ITI,NA,1365
37,NA,Practice,4,NA
37,NA,ITI,NA,1804
37,NA,Practice,3,NA
37,NA,Break,NA,NA
37,NA,ITI,NA,1000
37,NA,ITI,NA,1308
37,NA,test,4,NA
37,NA,ITI,NA,1137
37,NA,test,4,NA
37,NA,ITI,NA,1822
37,NA,test,3,NA
37,NA,ITI,NA,1434
37,NA,test,4,NA
37,NA,ITI,NA,1397
37,NA,test,4,NA
37,NA,ITI,NA,1973
37,NA,test,4,NA
37,NA,ITI,NA,1437
37,NA,test,3,NA
37,NA,ITI,NA,1793
37,NA,test,3,NA
37,NA,ITI,NA,1069
37,NA,test,4,NA
37,NA,ITI,NA,1326
37,NA,test,4,NA
37,NA,ITI,NA,1146
37,NA,test,3,NA
37,NA,ITI,NA,1105
37,NA,test,4,NA
37,NA,ITI,NA,1108
37,NA,test,4,NA
37,NA,ITI,NA,1220
37,NA,test,4,NA
37,NA,ITI,NA,1488
37,NA,test,4,NA
37,NA,ITI,NA,1665
37,NA,test,3,NA
37,NA,ITI,NA,1146
37,NA,test,3,NA
37,NA,ITI,NA,1193
37,NA,test,4,NA
37,NA,ITI,NA,1118
37,NA,test,3,NA
37,NA,ITI,NA,1121
37,NA,test,4,NA
37,NA,ITI,NA,1845
37,NA,test,4,NA
37,NA,ITI,NA,1548
37,NA,test,3,NA
37,NA,ITI,NA,1488
37,NA,test,3,NA
37,NA,ITI,NA,1302
37,NA,test,3,NA
37,NA,ITI,NA,1355
37,NA,test,3,NA
37,NA,ITI,NA,1371
37,NA,test,4,NA
37,NA,ITI,NA,1136
37,NA,test,4,NA
37,NA,ITI,NA,1617
37,NA,test,4,NA
37,NA,ITI,NA,1923
37,NA,test,4,NA
37,NA,ITI,NA,1551
37,NA,test,4,NA
37,NA,ITI,NA,1956
37,NA,test,3,NA
37,NA,ITI,NA,1407
37,NA,test,4,NA
37,NA,ITI,NA,1709
37,NA,test,3,NA
37,NA,ITI,NA,1357
37,NA,test,4,NA
37,NA,ITI,NA,1865
37,NA,test,4,NA
37,NA,ITI,NA,1456
37,NA,test,4,NA
37,NA,ITI,NA,1437
37,NA,test,3,NA
37,NA,ITI,NA,1611
37,NA,test,4,NA
37,NA,ITI,NA,1479
37,NA,test,3,NA
37,NA,ITI,NA,1245
37,NA,test,4,NA
37,NA,ITI,NA,1058
37,NA,test,4,NA
37,NA,ITI,NA,1706
37,NA,test,3,NA
37,NA,ITI,NA,1364
37,NA,test,3,NA
37,NA,ITI,NA,1767
37,NA,test,4,NA
37,NA,ITI,NA,1332
37,NA,test,3,NA
37,NA,ITI,NA,1261
37,NA,test,3,NA
37,NA,ITI,NA,1573
37,NA,test,3,NA
37,NA,ITI,NA,1813
37,NA,test,3,NA
37,NA,ITI,NA,1630
37,NA,test,3,NA
37,NA,ITI,NA,1690
37,NA,test,3,NA
37,NA,ITI,NA,1316
37,NA,test,4,NA
37,NA,ITI,NA,1838
37,NA,test,4,NA
37,NA,ITI,NA,1675
37,NA,test,4,NA
37,NA,ITI,NA,1675
37,NA,test,3,NA
37,NA,ITI,NA,1714
37,NA,test,4,NA
37,NA,ITI,NA,1173
37,NA,test,3,NA
37,NA,ITI,NA,1715
37,NA,test,3,NA
37,NA,ITI,NA,1473
37,NA,test,4,NA
37,NA,ITI,NA,1088
37,NA,test,4,NA
37,NA,ITI,NA,1507
37,NA,test,4,NA
37,NA,ITI,NA,1158
37,NA,test,3,NA
37,NA,ITI,NA,1683
37,NA,test,3,NA
37,NA,ITI,NA,1672
37,NA,test,3,NA
37,NA,ITI,NA,1091
37,NA,test,3,NA
37,NA,ITI,NA,1401
37,NA,test,3,NA
37,NA,ITI,NA,1004
37,NA,test,4,NA
37,NA,ITI,NA,1967
37,NA,test,3,NA
37,NA,ITI,NA,1517
37,NA,test,4,NA
37,NA,ITI,NA,1392
37,NA,test,4,NA
37,NA,ITI,NA,1078
37,NA,test,3,NA
37,NA,ITI,NA,1803
37,NA,test,3,NA
37,NA,ITI,NA,1466
37,NA,test,3,NA
37,NA,ITI,NA,1309
37,NA,test,3,NA
37,NA,ITI,NA,1024
37,NA,test,4,NA
37,NA,ITI,NA,1235
37,NA,test,4,NA
37,NA,ITI,NA,1811
37,NA,test,4,NA
37,NA,ITI,NA,1298
37,NA,test,4,NA
37,NA,ITI,NA,1162
37,NA,test,4,NA
37,NA,ITI,NA,1964
37,NA,test,4,NA
37,NA,ITI,NA,1976
37,NA,test,4,NA
37,NA,ITI,NA,1588
37,NA,test,3,NA
37,NA,ITI,NA,1924
37,NA,test,4,NA
37,NA,ITI,NA,1829
37,NA,test,4,NA
37,NA,ITI,NA,1372
37,NA,test,3,NA
37,NA,ITI,NA,1632
37,NA,test,4,NA
37,NA,ITI,NA,1577
37,NA,test,4,NA
37,NA,ITI,NA,1712
37,NA,test,3,NA
37,NA,ITI,NA,1744
37,NA,test,4,NA
37,NA,ITI,NA,1390
37,NA,test,3,NA
37,NA,ITI,NA,1689
37,NA,test,4,NA
37,NA,ITI,NA,1537
37,NA,test,4,NA
37,NA,ITI,NA,1643
37,NA,test,3,NA
37,NA,ITI,NA,1439
37,NA,test,4,NA
37,NA,ITI,NA,1481
37,NA,test,3,NA
37,NA,ITI,NA,1018
37,NA,test,4,NA
37,NA,ITI,NA,1818
37,NA,test,4,NA
37,NA,ITI,NA,1068
37,NA,test,4,NA
37,NA,ITI,NA,1108
37,NA,test,3,NA
37,NA,ITI,NA,1235
37,NA,test,4,NA
37,NA,ITI,NA,1816
37,NA,test,4,NA
37,NA,ITI,NA,1866
37,NA,test,4,NA
37,NA,ITI,NA,1236
37,NA,test,4,NA
37,NA,ITI,NA,1521
37,NA,test,3,NA
37,NA,ITI,NA,1033
37,NA,test,3,NA
37,NA,ITI,NA,1810
37,NA,test,4,NA
37,NA,ITI,NA,1044
37,NA,test,4,NA
37,NA,ITI,NA,1328
37,NA,test,4,NA
37,NA,ITI,NA,1169
37,NA,test,3,NA
37,NA,ITI,NA,1926
37,NA,test,4,NA
37,NA,ITI,NA,1237
37,NA,test,3,NA
37,NA,ITI,NA,1077
37,NA,test,4,NA
37,NA,ITI,NA,1940
37,NA,test,3,NA
37,NA,ITI,NA,1686
37,NA,test,4,NA
37,NA,ITI,NA,1630
37,NA,test,3,NA
37,NA,ITI,NA,1334
37,NA,test,4,NA
37,NA,ITI,NA,1000
37,NA,ITI,NA,1898
37,NA,test,3,NA
37,NA,ITI,NA,1668
37,NA,test,4,NA
37,NA,ITI,NA,1106
37,NA,test,4,NA
37,NA,ITI,NA,1023
37,NA,test,4,NA
37,NA,ITI,NA,1012
37,NA,test,3,NA
37,NA,ITI,NA,1931
37,NA,test,4,NA
37,NA,ITI,NA,1770
37,NA,test,4,NA
37,NA,ITI,NA,1105
37,NA,test,3,NA
37,NA,ITI,NA,1102
37,NA,test,4,NA
37,NA,ITI,NA,1287
37,NA,test,4,NA
37,NA,ITI,NA,1756
37,NA,test,4,NA
37,NA,ITI,NA,1037
37,NA,test,4,NA
37,NA,ITI,NA,1727
37,NA,test,4,NA
37,NA,ITI,NA,1387
37,NA,test,4,NA
37,NA,ITI,NA,1670
37,NA,test,4,NA
37,NA,ITI,NA,1308
37,NA,test,4,NA
37,NA,ITI,NA,1371
37,NA,test,3,NA
37,NA,ITI,NA,1709
37,NA,test,3,NA
37,NA,ITI,NA,1730
37,NA,test,4,NA
37,NA,ITI,NA,1461
37,NA,test,4,NA
37,NA,ITI,NA,1610
37,NA,test,4,NA
37,NA,ITI,NA,1796
37,NA,test,4,NA
37,NA,ITI,NA,1581
37,NA,test,4,NA
37,NA,ITI,NA,1656
37,NA,test,4,NA
37,NA,ITI,NA,1347
37,NA,test,3,NA
37,NA,ITI,NA,1243
37,NA,test,4,NA
37,NA,ITI,NA,1748
37,NA,test,4,NA
37,NA,ITI,NA,1843
37,NA,test,4,NA
37,NA,ITI,NA,1105
37,NA,test,3,NA
37,NA,ITI,NA,1465
37,NA,test,4,NA
37,NA,ITI,NA,1469
37,NA,test,4,NA
37,NA,ITI,NA,1130
37,NA,test,4,NA
37,NA,ITI,NA,1608
37,NA,test,4,NA
37,NA,ITI,NA,1952
37,NA,test,4,NA
37,NA,ITI,NA,1370
37,NA,test,3,NA
37,NA,ITI,NA,1436
37,NA,test,4,NA
37,NA,ITI,NA,1841
37,NA,test,4,NA
37,NA,ITI,NA,1562
37,NA,test,3,NA
37,NA,ITI,NA,1403
37,NA,test,4,NA
37,NA,ITI,NA,1938
37,NA,test,3,NA
37,NA,ITI,NA,1552
37,NA,test,4,NA
37,NA,ITI,NA,1517
37,NA,test,3,NA
37,NA,ITI,NA,1925
37,NA,test,4,NA
37,NA,ITI,NA,1370
37,NA,test,4,NA
37,NA,ITI,NA,1064
37,NA,test,4,NA
37,NA,ITI,NA,1376
37,NA,test,3,NA
37,NA,ITI,NA,1773
37,NA,test,3,NA
37,NA,ITI,NA,1425
37,NA,test,4,NA
