Subject Number, Block, Trial Number, Dynomometer Response, Duration
101,NA,ITI,NA,1000
101,study,1,0,1000
101,study,study,NA,NA
101,NA,ITI,NA,1000
101,study,2,0,1500
101,study,study,NA,NA
101,NA,ITI,NA,1000
101,study,3,0,1000
101,study,study,NA,NA
101,NA,ITI,NA,1000
101,study,4,0,1500
101,study,study,NA,NA
101,NA,ITI,NA,1000
101,study,5,0,1000
101,study,study,NA,NA
101,NA,ITI,NA,1000
101,study,6,0,1500
101,study,study,NA,NA
101,NA,ITI,NA,1000
101,study,7,0,1000
101,study,study,NA,NA
101,NA,ITI,NA,1000
101,study,8,0,1500
101,study,study,NA,NA
101,NA,ITI,NA,1000
101,study,9,0,1000
101,study,study,NA,NA
101,NA,ITI,NA,1000
101,study,10,0,1500
101,study,study,NA,NA
101,NA,End of Block,NA,NA
101,NA,ITI,NA,1000
101,NA,Break,NA,NA
101,NA,ITI,NA,1000
101,NA,ITI,NA,1516
101,NA,Practice,4,NA
101,NA,ITI,NA,1571
101,NA,Practice,4,NA
101,NA,ITI,NA,1028
101,NA,Practice,4,NA
101,NA,ITI,NA,1171
101,NA,Practice,3,NA
101,NA,ITI,NA,1685
101,NA,Practice,4,NA
101,NA,ITI,NA,1834
101,NA,Practice,3,NA
101,NA,ITI,NA,1307
101,NA,Practice,4,NA
101,NA,ITI,NA,1894
101,NA,Practice,3,NA
101,NA,ITI,NA,1722
101,NA,Practice,4,NA
101,NA,ITI,NA,1190
101,NA,Practice,4,NA
101,NA,ITI,NA,1554
101,NA,Practice,3,NA
101,NA,ITI,NA,1352
101,NA,Practice,4,NA
101,NA,ITI,NA,1182
101,NA,Practice,3,NA
101,NA,ITI,NA,1786
101,NA,Practice,4,NA
101,NA,ITI,NA,1966
101,NA,Practice,4,NA
101,NA,ITI,NA,1232
101,NA,Practice,4,NA
101,NA,ITI,NA,1083
101,NA,Practice,4,NA
101,NA,ITI,NA,1604
101,NA,Practice,4,NA
101,NA,ITI,NA,1729
101,NA,Practice,4,NA
101,NA,ITI,NA,1276
101,NA,Practice,4,NA
101,NA,ITI,NA,1685
101,NA,Practice,3,NA
101,NA,ITI,NA,1518
101,NA,Practice,4,NA
101,NA,ITI,NA,1048
101,NA,Practice,3,NA
101,NA,ITI,NA,1138
101,NA,Practice,4,NA
101,NA,ITI,NA,1187
101,NA,Practice,3,NA
101,NA,Break,NA,NA
101,NA,ITI,NA,1000
101,NA,ITI,NA,1583
101,NA,test,4,NA
101,NA,ITI,NA,1497
101,NA,test,4,NA
101,NA,ITI,NA,1379
101,NA,test,4,NA
101,NA,ITI,NA,1976
101,NA,test,3,NA
101,NA,ITI,NA,1450
101,NA,test,4,NA
101,NA,ITI,NA,1203
101,NA,test,4,NA
101,NA,ITI,NA,1823
101,NA,test,3,NA
101,NA,ITI,NA,1299
101,NA,test,3,NA
101,NA,ITI,NA,1009
101,NA,test,4,NA
101,NA,ITI,NA,1227
101,NA,test,3,NA
101,NA,ITI,NA,1697
101,NA,test,4,NA
101,NA,ITI,NA,1048
101,NA,test,4,NA
101,NA,ITI,NA,1364
101,NA,test,4,NA
101,NA,ITI,NA,1904
101,NA,test,3,NA
101,NA,ITI,NA,1775
101,NA,test,4,NA
101,NA,ITI,NA,1080
101,NA,test,3,NA
101,NA,ITI,NA,1966
101,NA,test,3,NA
101,NA,ITI,NA,1607
101,NA,test,3,NA
101,NA,ITI,NA,1404
101,NA,test,4,NA
101,NA,ITI,NA,1631
101,NA,test,3,NA
101,NA,ITI,NA,1277
101,NA,test,4,NA
101,NA,ITI,NA,1378
101,NA,test,3,NA
101,NA,ITI,NA,1415
101,NA,test,4,NA
101,NA,ITI,NA,1013
101,NA,test,4,NA
101,NA,ITI,NA,1424
101,NA,test,4,NA
101,NA,ITI,NA,1843
101,NA,test,3,NA
101,NA,ITI,NA,1937
101,NA,test,3,NA
101,NA,ITI,NA,1385
101,NA,test,3,NA
101,NA,ITI,NA,1698
101,NA,test,4,NA
101,NA,ITI,NA,1552
101,NA,test,4,NA
101,NA,ITI,NA,1341
101,NA,test,3,NA
101,NA,ITI,NA,1711
101,NA,test,4,NA
101,NA,ITI,NA,1817
101,NA,test,3,NA
101,NA,ITI,NA,1675
101,NA,test,3,NA
101,NA,ITI,NA,1110
101,NA,test,3,NA
101,NA,ITI,NA,1695
