Subject Number, Block, Trial Number, Dynomometer Response, Duration
12,NA,ITI,NA,1000
12,study,1,0,1000
12,study,study,NA,NA
12,NA,ITI,NA,1000
12,study,2,0,1500
12,study,study,NA,NA
12,NA,ITI,NA,1000
12,study,3,0,1000
12,study,study,NA,NA
12,NA,ITI,NA,1000
12,study,4,0,1500
12,study,study,NA,NA
12,NA,ITI,NA,1000
12,study,5,0,1000
12,study,study,NA,NA
12,NA,ITI,NA,1000
12,study,6,0,1500
12,study,study,NA,NA
12,NA,ITI,NA,1000
12,study,7,0,1000
12,study,study,NA,NA
12,NA,ITI,NA,1000
12,study,8,0,1500
12,study,study,NA,NA
12,NA,ITI,NA,1000
12,study,9,0,1000
12,study,study,NA,NA
12,NA,ITI,NA,1000
12,study,10,0,1500
12,study,study,NA,NA
12,NA,End of Block,NA,NA
12,NA,ITI,NA,1000
12,NA,Break,NA,NA
12,NA,ITI,NA,1000
12,NA,ITI,NA,1154
12,NA,Practice,4,NA
12,NA,ITI,NA,1740
12,NA,Practice,3,NA
12,NA,ITI,NA,1263
12,NA,Practice,4,NA
12,NA,ITI,NA,1534
12,NA,Practice,3,NA
12,NA,ITI,NA,1014
12,NA,Practice,4,NA
12,NA,ITI,NA,1919
12,NA,Practice,4,NA
12,NA,ITI,NA,1901
12,NA,Practice,4,NA
12,NA,ITI,NA,1033
12,NA,Practice,4,NA
12,NA,ITI,NA,1957
12,NA,Practice,3,NA
12,NA,ITI,NA,1137
12,NA,Practice,4,NA
12,NA,ITI,NA,1284
12,NA,Practice,3,NA
12,NA,ITI,NA,1606
12,NA,Practice,3,NA
12,NA,ITI,NA,1945
12,NA,Practice,4,NA
12,NA,ITI,NA,1853
12,NA,Practice,3,NA
12,NA,ITI,NA,1002
12,NA,Practice,4,NA
12,NA,ITI,NA,1521
12,NA,Practice,4,NA
12,NA,ITI,NA,1552
12,NA,Practice,3,NA
12,NA,ITI,NA,1485
12,NA,Practice,3,NA
12,NA,ITI,NA,1768
12,NA,Practice,3,NA
12,NA,ITI,NA,1160
12,NA,Practice,4,NA
12,NA,ITI,NA,1765
12,NA,Practice,3,NA
12,NA,ITI,NA,1020
12,NA,Practice,3,NA
12,NA,ITI,NA,1135
12,NA,Practice,3,NA
12,NA,ITI,NA,1116
12,NA,Practice,4,NA
12,NA,ITI,NA,1310
12,NA,Practice,3,NA
12,NA,Break,NA,NA
12,NA,ITI,NA,1000
12,NA,ITI,NA,1349
12,NA,test,4,NA
12,NA,ITI,NA,1446
12,NA,test,3,NA
12,NA,ITI,NA,1644
12,NA,test,3,NA
12,NA,ITI,NA,1670
12,NA,test,4,NA
12,NA,ITI,NA,1282
12,NA,test,4,NA
12,NA,ITI,NA,1925
12,NA,test,3,NA
12,NA,ITI,NA,1425
12,NA,test,4,NA
12,NA,ITI,NA,1620
12,NA,test,4,NA
12,NA,ITI,NA,1379
12,NA,test,4,NA
12,NA,ITI,NA,1322
12,NA,test,4,NA
12,NA,ITI,NA,1129
12,NA,test,4,NA
12,NA,ITI,NA,1319
12,NA,test,4,NA
12,NA,ITI,NA,1603
12,NA,test,3,NA
12,NA,ITI,NA,1291
12,NA,test,3,NA
12,NA,ITI,NA,1072
12,NA,test,3,NA
12,NA,ITI,NA,1958
12,NA,test,4,NA
12,NA,ITI,NA,1362
12,NA,test,3,NA
12,NA,ITI,NA,1406
12,NA,test,3,NA
12,NA,ITI,NA,1455
12,NA,test,4,NA
12,NA,ITI,NA,1947
12,NA,test,3,NA
12,NA,ITI,NA,1903
12,NA,test,3,NA
12,NA,ITI,NA,1858
12,NA,test,4,NA
12,NA,ITI,NA,1269
12,NA,test,4,NA
12,NA,ITI,NA,1689
12,NA,test,3,NA
12,NA,ITI,NA,1091
12,NA,test,3,NA
12,NA,ITI,NA,1003
12,NA,test,4,NA
12,NA,ITI,NA,1696
12,NA,test,3,NA
12,NA,ITI,NA,1901
12,NA,test,3,NA
12,NA,ITI,NA,1689
12,NA,test,3,NA
12,NA,ITI,NA,1920
12,NA,test,4,NA
12,NA,ITI,NA,1047
12,NA,test,4,NA
12,NA,ITI,NA,1005
12,NA,test,3,NA
12,NA,ITI,NA,1318
12,NA,test,3,NA
12,NA,ITI,NA,1643
12,NA,test,3,NA
12,NA,ITI,NA,1915
12,NA,test,4,NA
12,NA,ITI,NA,1385
12,NA,test,4,NA
12,NA,ITI,NA,1876
12,NA,test,4,NA
12,NA,ITI,NA,1596
12,NA,test,3,NA
12,NA,ITI,NA,1526
12,NA,test,3,NA
12,NA,ITI,NA,1611
12,NA,test,3,NA
12,NA,ITI,NA,1236
12,NA,test,3,NA
12,NA,ITI,NA,1600
12,NA,test,3,NA
12,NA,ITI,NA,1132
12,NA,test,4,NA
12,NA,ITI,NA,1312
12,NA,test,3,NA
12,NA,ITI,NA,1547
12,NA,test,4,NA
12,NA,ITI,NA,1069
12,NA,test,3,NA
12,NA,ITI,NA,1874
12,NA,test,4,NA
12,NA,ITI,NA,1801
12,NA,test,4,NA
12,NA,ITI,NA,1648
12,NA,test,3,NA
12,NA,ITI,NA,1912
12,NA,test,4,NA
12,NA,ITI,NA,1431
12,NA,test,4,NA
12,NA,ITI,NA,1194
12,NA,test,4,NA
12,NA,ITI,NA,1409
12,NA,test,3,NA
12,NA,ITI,NA,1210
12,NA,test,3,NA
12,NA,ITI,NA,1787
12,NA,test,4,NA
12,NA,ITI,NA,1377
12,NA,test,4,NA
12,NA,ITI,NA,1263
12,NA,test,4,NA
12,NA,ITI,NA,1403
12,NA,test,3,NA
12,NA,ITI,NA,1280
12,NA,test,3,NA
12,NA,ITI,NA,1886
12,NA,test,4,NA
12,NA,ITI,NA,1023
12,NA,test,3,NA
12,NA,ITI,NA,1202
12,NA,test,4,NA
12,NA,ITI,NA,1673
12,NA,test,3,NA
12,NA,ITI,NA,1419
12,NA,test,4,NA
12,NA,ITI,NA,1143
12,NA,test,4,NA
12,NA,ITI,NA,1648
12,NA,test,3,NA
12,NA,ITI,NA,1082
12,NA,test,3,NA
12,NA,ITI,NA,1512
12,NA,test,3,NA
12,NA,ITI,NA,1671
12,NA,test,3,NA
12,NA,ITI,NA,1334
12,NA,test,3,NA
12,NA,ITI,NA,1739
12,NA,test,3,NA
12,NA,ITI,NA,1779
12,NA,test,3,NA
12,NA,ITI,NA,1601
12,NA,test,3,NA
12,NA,ITI,NA,1135
12,NA,test,4,NA
12,NA,ITI,NA,1053
12,NA,test,3,NA
12,NA,ITI,NA,1191
12,NA,test,3,NA
12,NA,ITI,NA,1285
12,NA,test,4,NA
12,NA,ITI,NA,1402
12,NA,test,3,NA
12,NA,ITI,NA,1748
12,NA,test,4,NA
12,NA,ITI,NA,1787
12,NA,test,4,NA
12,NA,ITI,NA,1415
12,NA,test,4,NA
12,NA,ITI,NA,1254
12,NA,test,3,NA
12,NA,ITI,NA,1136
12,NA,test,3,NA
12,NA,ITI,NA,1109
12,NA,test,4,NA
12,NA,ITI,NA,1500
12,NA,test,4,NA
12,NA,ITI,NA,1931
12,NA,test,3,NA
12,NA,ITI,NA,1154
12,NA,test,3,NA
12,NA,ITI,NA,1126
12,NA,test,3,NA
12,NA,ITI,NA,1076
12,NA,test,3,NA
12,NA,ITI,NA,1605
12,NA,test,3,NA
12,NA,ITI,NA,1923
12,NA,test,3,NA
12,NA,ITI,NA,1290
12,NA,test,3,NA
12,NA,ITI,NA,1171
12,NA,test,4,NA
12,NA,ITI,NA,1627
12,NA,test,4,NA
12,NA,ITI,NA,1509
12,NA,test,4,NA
12,NA,ITI,NA,1660
12,NA,test,4,NA
12,NA,ITI,NA,1195
12,NA,test,3,NA
12,NA,ITI,NA,1067
12,NA,test,3,NA
12,NA,ITI,NA,1540
12,NA,test,4,NA
12,NA,ITI,NA,1355
12,NA,test,3,NA
12,NA,ITI,NA,1801
12,NA,test,3,NA
12,NA,ITI,NA,1335
12,NA,test,4,NA
12,NA,ITI,NA,1186
12,NA,test,3,NA
12,NA,ITI,NA,1177
12,NA,test,3,NA
12,NA,ITI,NA,1313
12,NA,test,4,NA
12,NA,ITI,NA,1008
12,NA,test,4,NA
12,NA,ITI,NA,1082
12,NA,test,4,NA
12,NA,ITI,NA,1010
12,NA,test,3,NA
12,NA,ITI,NA,1613
12,NA,test,4,NA
12,NA,ITI,NA,1598
12,NA,test,3,NA
12,NA,ITI,NA,1332
12,NA,test,3,NA
12,NA,ITI,NA,1084
12,NA,test,3,NA
12,NA,ITI,NA,1903
12,NA,test,3,NA
12,NA,ITI,NA,1315
12,NA,test,3,NA
12,NA,ITI,NA,1562
12,NA,test,4,NA
12,NA,ITI,NA,1000
12,NA,ITI,NA,1362
12,NA,test,3,NA
