Subject Number, Block, Trial Number, Dynomometer Response, Duration
46,NA,ITI,NA,1000
46,study,1,0,1000
46,study,study,NA,NA
46,NA,ITI,NA,1000
46,study,2,0,1500
46,study,study,NA,NA
46,NA,ITI,NA,1000
46,study,3,0,1000
46,study,study,NA,NA
46,NA,ITI,NA,1000
46,study,4,0,1500
46,study,study,NA,NA
46,NA,ITI,NA,1000
46,study,5,0,1000
46,study,study,NA,NA
46,NA,ITI,NA,1000
46,study,6,0,1500
46,study,study,NA,NA
46,NA,ITI,NA,1000
46,study,7,0,1000
46,study,study,NA,NA
46,NA,ITI,NA,1000
46,study,8,0,1500
46,study,study,NA,NA
46,NA,ITI,NA,1000
46,study,9,0,1000
46,study,study,NA,NA
46,NA,ITI,NA,1000
46,study,10,0,1500
46,study,study,NA,NA
46,NA,End of Block,NA,NA
46,NA,ITI,NA,1000
46,NA,Break,NA,NA
46,NA,ITI,NA,1000
46,NA,ITI,NA,1784
46,NA,Practice,4,NA
46,NA,ITI,NA,1635
46,NA,Practice,3,NA
46,NA,ITI,NA,1249
46,NA,Practice,3,NA
46,NA,ITI,NA,1758
46,NA,Practice,4,NA
46,NA,ITI,NA,1313
46,NA,Practice,3,NA
46,NA,ITI,NA,1938
46,NA,Practice,3,NA
46,NA,ITI,NA,1042
46,NA,Practice,4,NA
46,NA,ITI,NA,1441
46,NA,Practice,4,NA
46,NA,ITI,NA,1913
46,NA,Practice,4,NA
46,NA,ITI,NA,1455
46,NA,Practice,4,NA
46,NA,ITI,NA,1508
46,NA,Practice,4,NA
46,NA,ITI,NA,1084
46,NA,Practice,3,NA
46,NA,ITI,NA,1426
46,NA,Practice,4,NA
46,NA,ITI,NA,1746
46,NA,Practice,4,NA
46,NA,ITI,NA,1867
46,NA,Practice,3,NA
46,NA,ITI,NA,1323
46,NA,Practice,3,NA
46,NA,ITI,NA,1104
46,NA,Practice,4,NA
46,NA,ITI,NA,1802
46,NA,Practice,3,NA
46,NA,ITI,NA,1395
46,NA,Practice,4,NA
46,NA,ITI,NA,1628
46,NA,Practice,3,NA
46,NA,ITI,NA,1036
46,NA,Practice,3,NA
46,NA,ITI,NA,1300
46,NA,Practice,4,NA
46,NA,ITI,NA,1047
46,NA,Practice,3,NA
46,NA,ITI,NA,1372
