Subject Number, Block, Trial Number, Dynomometer Response, Duration
39,NA,ITI,NA,1000
39,study,1,0,1000
39,study,study,NA,NA
39,NA,ITI,NA,1000
39,study,2,0,1500
39,study,study,NA,NA
39,NA,ITI,NA,1000
39,study,3,0,1000
39,study,study,NA,NA
39,NA,ITI,NA,1000
39,study,4,0,1500
39,study,study,NA,NA
39,NA,ITI,NA,1000
39,study,5,0,1000
39,study,study,NA,NA
39,NA,ITI,NA,1000
39,study,6,0,1500
39,study,study,NA,NA
39,NA,ITI,NA,1000
39,study,7,0,1000
39,study,study,NA,NA
39,NA,ITI,NA,1000
39,study,8,0,1500
39,study,study,NA,NA
39,NA,ITI,NA,1000
39,study,9,0,1000
39,study,study,NA,NA
39,NA,ITI,NA,1000
39,study,10,0,1500
39,study,study,NA,NA
39,NA,End of Block,NA,NA
39,NA,ITI,NA,1000
39,NA,Break,NA,NA
39,NA,ITI,NA,1000
39,NA,ITI,NA,1547
39,NA,Practice,3,NA
39,NA,ITI,NA,1798
39,NA,Practice,4,NA
39,NA,ITI,NA,1821
39,NA,Practice,3,NA
39,NA,ITI,NA,1122
39,NA,Practice,4,NA
39,NA,ITI,NA,1602
39,NA,Practice,4,NA
39,NA,ITI,NA,1526
39,NA,Practice,3,NA
39,NA,ITI,NA,1464
39,NA,Practice,3,NA
39,NA,ITI,NA,1471
39,NA,Practice,3,NA
39,NA,ITI,NA,1633
39,NA,Practice,3,NA
39,NA,ITI,NA,1926
39,NA,Practice,4,NA
39,NA,ITI,NA,1816
39,NA,Practice,4,NA
39,NA,ITI,NA,1945
39,NA,Practice,3,NA
39,NA,ITI,NA,1920
39,NA,Practice,3,NA
39,NA,ITI,NA,1415
39,NA,Practice,4,NA
39,NA,ITI,NA,1826
39,NA,Practice,3,NA
39,NA,ITI,NA,1947
39,NA,Practice,3,NA
39,NA,ITI,NA,1628
39,NA,Practice,3,NA
39,NA,ITI,NA,1252
39,NA,Practice,3,NA
39,NA,ITI,NA,1592
39,NA,Practice,3,NA
39,NA,ITI,NA,1861
39,NA,Practice,4,NA
39,NA,ITI,NA,1048
39,NA,Practice,3,NA
39,NA,ITI,NA,1855
39,NA,Practice,4,NA
39,NA,ITI,NA,1720
39,NA,Practice,3,NA
39,NA,ITI,NA,1296
39,NA,Practice,3,NA
39,NA,ITI,NA,1485
39,NA,Practice,4,NA
39,NA,Break,NA,NA
39,NA,ITI,NA,1000
39,NA,ITI,NA,1580
39,NA,test,4,NA
39,NA,ITI,NA,1114
39,NA,test,3,NA
39,NA,ITI,NA,1704
39,NA,test,3,NA
39,NA,ITI,NA,1481
39,NA,test,3,NA
39,NA,ITI,NA,1402
39,NA,test,3,NA
39,NA,ITI,NA,1568
39,NA,test,4,NA
39,NA,ITI,NA,1789
39,NA,test,4,NA
39,NA,ITI,NA,1308
39,NA,test,3,NA
39,NA,ITI,NA,1838
39,NA,test,3,NA
39,NA,ITI,NA,1797
39,NA,test,3,NA
39,NA,ITI,NA,1341
39,NA,test,3,NA
39,NA,ITI,NA,1882
39,NA,test,3,NA
39,NA,ITI,NA,1648
39,NA,test,4,NA
39,NA,ITI,NA,1704
39,NA,test,3,NA
39,NA,ITI,NA,1241
39,NA,test,3,NA
39,NA,ITI,NA,1954
39,NA,test,3,NA
39,NA,ITI,NA,1540
39,NA,test,4,NA
39,NA,ITI,NA,1402
39,NA,test,4,NA
39,NA,ITI,NA,1515
39,NA,test,3,NA
39,NA,ITI,NA,1521
39,NA,test,3,NA
39,NA,ITI,NA,1790
39,NA,test,3,NA
39,NA,ITI,NA,1778
39,NA,test,3,NA
39,NA,ITI,NA,1590
39,NA,test,3,NA
39,NA,ITI,NA,1011
39,NA,test,3,NA
39,NA,ITI,NA,1595
39,NA,test,3,NA
39,NA,ITI,NA,1563
39,NA,test,4,NA
39,NA,ITI,NA,1464
39,NA,test,3,NA
39,NA,ITI,NA,1493
39,NA,test,3,NA
39,NA,ITI,NA,1915
39,NA,test,3,NA
39,NA,ITI,NA,1647
39,NA,test,3,NA
39,NA,ITI,NA,1344
39,NA,test,4,NA
39,NA,ITI,NA,1871
39,NA,test,3,NA
39,NA,ITI,NA,1558
39,NA,test,3,NA
39,NA,ITI,NA,1596
39,NA,test,4,NA
39,NA,ITI,NA,1366
39,NA,test,3,NA
39,NA,ITI,NA,1342
39,NA,test,3,NA
39,NA,ITI,NA,1595
39,NA,test,4,NA
39,NA,ITI,NA,1328
39,NA,test,3,NA
39,NA,ITI,NA,1040
39,NA,test,3,NA
39,NA,ITI,NA,1808
39,NA,test,4,NA
39,NA,ITI,NA,1833
39,NA,test,3,NA
39,NA,ITI,NA,1906
39,NA,test,3,NA
39,NA,ITI,NA,1441
39,NA,test,3,NA
39,NA,ITI,NA,1650
39,NA,test,3,NA
39,NA,ITI,NA,1307
39,NA,test,3,NA
39,NA,ITI,NA,1270
39,NA,test,4,NA
39,NA,ITI,NA,1233
39,NA,test,3,NA
39,NA,ITI,NA,1032
39,NA,test,3,NA
39,NA,ITI,NA,1439
39,NA,test,3,NA
39,NA,ITI,NA,1049
39,NA,test,3,NA
39,NA,ITI,NA,1162
39,NA,test,3,NA
39,NA,ITI,NA,1463
39,NA,test,3,NA
39,NA,ITI,NA,1581
39,NA,test,3,NA
39,NA,ITI,NA,1168
39,NA,test,3,NA
39,NA,ITI,NA,1234
39,NA,test,3,NA
39,NA,ITI,NA,1924
39,NA,test,3,NA
39,NA,ITI,NA,1504
39,NA,test,3,NA
39,NA,ITI,NA,1563
39,NA,test,3,NA
39,NA,ITI,NA,1035
39,NA,test,3,NA
39,NA,ITI,NA,1159
39,NA,test,3,NA
39,NA,ITI,NA,1219
39,NA,test,3,NA
39,NA,ITI,NA,1359
39,NA,test,4,NA
39,NA,ITI,NA,1838
39,NA,test,4,NA
39,NA,ITI,NA,1046
39,NA,test,3,NA
39,NA,ITI,NA,1534
39,NA,test,3,NA
39,NA,ITI,NA,1399
39,NA,test,3,NA
39,NA,ITI,NA,1106
39,NA,test,3,NA
39,NA,ITI,NA,1942
39,NA,test,3,NA
39,NA,ITI,NA,1302
39,NA,test,4,NA
39,NA,ITI,NA,1762
39,NA,test,3,NA
39,NA,ITI,NA,1001
39,NA,test,3,NA
39,NA,ITI,NA,1394
39,NA,test,3,NA
39,NA,ITI,NA,1953
39,NA,test,4,NA
39,NA,ITI,NA,1786
39,NA,test,3,NA
