Subject Number, Block, Trial Number, Dynomometer Response, Duration
28,NA,ITI,NA,1000
28,study,1,0,1000
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,2,0,1500
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,3,0,1000
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,4,0,1500
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,5,0,1000
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,6,0,1500
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,7,0,1000
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,8,0,1500
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,9,0,1000
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,10,0,1500
28,study,study,NA,NA
28,NA,End of Block,NA,NA
28,NA,ITI,NA,1000
28,study,1,0,1000
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,2,0,1500
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,3,0,1000
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,4,0,1500
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,5,0,1000
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,6,0,1500
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,7,0,1000
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,8,0,1500
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,9,0,1000
28,study,study,NA,NA
28,NA,ITI,NA,1000
28,study,10,1,1500
28,study,study,NA,NA
28,NA,End of Block,NA,NA
28,NA,ITI,NA,1000
28,NA,Break,NA,NA
28,NA,ITI,NA,1000
28,NA,ITI,NA,1729
28,NA,Practice,4,NA
28,NA,ITI,NA,1561
28,NA,Practice,4,NA
28,NA,ITI,NA,1125
28,NA,Practice,4,NA
28,NA,ITI,NA,1397
28,NA,Practice,4,NA
28,NA,ITI,NA,1782
28,NA,Practice,4,NA
28,NA,ITI,NA,1511
28,NA,Practice,4,NA
28,NA,ITI,NA,1182
28,NA,Practice,4,NA
28,NA,ITI,NA,1854
28,NA,Practice,3,NA
28,NA,ITI,NA,1956
28,NA,Practice,3,NA
28,NA,ITI,NA,1985
28,NA,Practice,3,NA
28,NA,ITI,NA,1192
28,NA,Practice,3,NA
28,NA,ITI,NA,1971
28,NA,Practice,4,NA
28,NA,ITI,NA,1235
28,NA,Practice,3,NA
28,NA,ITI,NA,1026
28,NA,Practice,3,NA
28,NA,ITI,NA,1947
28,NA,Practice,3,NA
28,NA,ITI,NA,1922
28,NA,Practice,4,NA
28,NA,ITI,NA,1294
28,NA,Practice,3,NA
28,NA,ITI,NA,1166
28,NA,Practice,3,NA
28,NA,ITI,NA,1395
28,NA,Practice,4,NA
28,NA,ITI,NA,1511
28,NA,Practice,3,NA
28,NA,ITI,NA,1308
28,NA,Practice,3,NA
28,NA,ITI,NA,1429
28,NA,Practice,3,NA
28,NA,ITI,NA,1830
28,NA,Practice,3,NA
28,NA,ITI,NA,1562
28,NA,Practice,4,NA
28,NA,ITI,NA,1831
28,NA,Practice,4,NA
28,NA,Break,NA,NA
28,NA,ITI,NA,1000
28,NA,ITI,NA,1119
28,NA,test,3,NA
28,NA,ITI,NA,1852
28,NA,test,3,NA
28,NA,ITI,NA,1600
28,NA,test,4,NA
28,NA,ITI,NA,1623
28,NA,test,3,NA
28,NA,ITI,NA,1012
28,NA,test,4,NA
28,NA,ITI,NA,1304
28,NA,test,3,NA
28,NA,ITI,NA,1145
28,NA,test,4,NA
28,NA,ITI,NA,1776
28,NA,test,4,NA
28,NA,ITI,NA,1107
28,NA,test,4,NA
28,NA,ITI,NA,1896
28,NA,test,3,NA
28,NA,ITI,NA,1471
28,NA,test,4,NA
28,NA,ITI,NA,1738
28,NA,test,3,NA
28,NA,ITI,NA,1354
28,NA,test,3,NA
28,NA,ITI,NA,1856
28,NA,test,4,NA
28,NA,ITI,NA,1786
28,NA,test,4,NA
28,NA,ITI,NA,1820
28,NA,test,3,NA
28,NA,ITI,NA,1954
28,NA,test,4,NA
28,NA,ITI,NA,1866
28,NA,test,3,NA
28,NA,ITI,NA,1570
28,NA,test,3,NA
28,NA,ITI,NA,1382
28,NA,test,4,NA
28,NA,ITI,NA,1151
28,NA,test,4,NA
28,NA,ITI,NA,1612
28,NA,test,3,NA
28,NA,ITI,NA,1428
28,NA,test,4,NA
28,NA,ITI,NA,1415
28,NA,test,3,NA
28,NA,ITI,NA,1914
28,NA,test,3,NA
28,NA,ITI,NA,1242
28,NA,test,3,NA
28,NA,ITI,NA,1953
28,NA,test,4,NA
28,NA,ITI,NA,1061
28,NA,test,3,NA
28,NA,ITI,NA,1332
28,NA,test,3,NA
28,NA,ITI,NA,1818
28,NA,test,3,NA
28,NA,ITI,NA,1509
28,NA,test,4,NA
28,NA,ITI,NA,1384
28,NA,test,4,NA
28,NA,ITI,NA,1682
28,NA,test,3,NA
28,NA,ITI,NA,1979
28,NA,test,3,NA
28,NA,ITI,NA,1431
28,NA,test,3,NA
28,NA,ITI,NA,1382
28,NA,test,4,NA
28,NA,ITI,NA,1325
28,NA,test,3,NA
28,NA,ITI,NA,1630
28,NA,test,3,NA
28,NA,ITI,NA,1893
28,NA,test,4,NA
28,NA,ITI,NA,1443
28,NA,test,3,NA
28,NA,ITI,NA,1184
28,NA,test,3,NA
28,NA,ITI,NA,1025
28,NA,test,3,NA
28,NA,ITI,NA,1376
28,NA,test,3,NA
28,NA,ITI,NA,1233
28,NA,test,4,NA
28,NA,ITI,NA,1361
28,NA,test,4,NA
28,NA,ITI,NA,1780
28,NA,test,3,NA
28,NA,ITI,NA,1237
28,NA,test,3,NA
28,NA,ITI,NA,1170
28,NA,test,3,NA
28,NA,ITI,NA,1105
28,NA,test,3,NA
28,NA,ITI,NA,1414
28,NA,test,3,NA
28,NA,ITI,NA,1245
28,NA,test,4,NA
28,NA,ITI,NA,1595
28,NA,test,3,NA
28,NA,ITI,NA,1926
28,NA,test,4,NA
28,NA,ITI,NA,1911
28,NA,test,3,NA
28,NA,ITI,NA,1359
28,NA,test,3,NA
28,NA,ITI,NA,1506
28,NA,test,3,NA
28,NA,ITI,NA,1809
28,NA,test,3,NA
28,NA,ITI,NA,1439
28,NA,test,3,NA
28,NA,ITI,NA,1728
28,NA,test,3,NA
28,NA,ITI,NA,1032
28,NA,test,4,NA
28,NA,ITI,NA,1920
28,NA,test,4,NA
28,NA,ITI,NA,1228
28,NA,test,3,NA
28,NA,ITI,NA,1725
28,NA,test,3,NA
28,NA,ITI,NA,1181
28,NA,test,4,NA
28,NA,ITI,NA,1678
28,NA,test,4,NA
28,NA,ITI,NA,1242
28,NA,test,3,NA
28,NA,ITI,NA,1536
28,NA,test,3,NA
28,NA,ITI,NA,1810
28,NA,test,3,NA
28,NA,ITI,NA,1897
28,NA,test,3,NA
28,NA,ITI,NA,1519
28,NA,test,4,NA
28,NA,ITI,NA,1375
28,NA,test,3,NA
28,NA,ITI,NA,1368
28,NA,test,3,NA
28,NA,ITI,NA,1077
28,NA,test,3,NA
28,NA,ITI,NA,1462
28,NA,test,3,NA
28,NA,ITI,NA,1079
28,NA,test,3,NA
28,NA,ITI,NA,1605
28,NA,test,3,NA
28,NA,ITI,NA,1434
28,NA,test,3,NA
28,NA,ITI,NA,1557
28,NA,test,3,NA
28,NA,ITI,NA,1613
28,NA,test,3,NA
28,NA,ITI,NA,1033
28,NA,test,3,NA
28,NA,ITI,NA,1662
28,NA,test,3,NA
28,NA,ITI,NA,1399
28,NA,test,3,NA
28,NA,ITI,NA,1651
28,NA,test,4,NA
28,NA,ITI,NA,1083
28,NA,test,3,NA
28,NA,ITI,NA,1190
28,NA,test,4,NA
28,NA,ITI,NA,1483
28,NA,test,3,NA
28,NA,ITI,NA,1363
28,NA,test,3,NA
28,NA,ITI,NA,1857
28,NA,test,3,NA
28,NA,ITI,NA,1367
28,NA,test,3,NA
28,NA,ITI,NA,1848
28,NA,test,3,NA
28,NA,ITI,NA,1973
28,NA,test,3,NA
28,NA,ITI,NA,1370
28,NA,test,3,NA
28,NA,ITI,NA,1569
28,NA,test,4,NA
28,NA,ITI,NA,1718
28,NA,test,4,NA
28,NA,ITI,NA,1710
28,NA,test,3,NA
28,NA,ITI,NA,1004
28,NA,test,4,NA
28,NA,ITI,NA,1113
28,NA,test,3,NA
28,NA,ITI,NA,1764
28,NA,test,3,NA
28,NA,ITI,NA,1051
28,NA,test,3,NA
28,NA,ITI,NA,1747
28,NA,test,3,NA
28,NA,ITI,NA,1815
28,NA,test,4,NA
28,NA,ITI,NA,1859
28,NA,test,3,NA
28,NA,ITI,NA,1051
28,NA,test,3,NA
28,NA,ITI,NA,1457
28,NA,test,3,NA
28,NA,ITI,NA,1149
28,NA,test,3,NA
