Subject Number, Block, Trial Number, Dynomometer Response, Duration
4,NA,ITI,NA,1000
4,study,1,1,1000
4,study,study,NA,NA
4,NA,ITI,NA,1000
4,study,2,0,1500
4,study,study,NA,NA
4,NA,ITI,NA,1000
4,study,3,2,1000
4,study,study,NA,NA
4,NA,ITI,NA,1000
4,study,4,0,1500
4,study,study,NA,NA
4,NA,ITI,NA,1000
4,study,5,0,1000
4,study,study,NA,NA
4,NA,ITI,NA,1000
4,study,6,0,1500
4,study,study,NA,NA
4,NA,ITI,NA,1000
4,study,7,0,1000
4,study,study,NA,NA
4,NA,ITI,NA,1000
4,study,8,0,1500
4,study,study,NA,NA
4,NA,ITI,NA,1000
4,study,9,0,1000
4,study,study,NA,NA
4,NA,ITI,NA,1000
4,study,10,0,1500
4,study,study,NA,NA
4,NA,End of Block,NA,NA
4,NA,ITI,NA,1000
4,NA,Break,NA,NA
4,NA,ITI,NA,1000
4,NA,ITI,NA,1967
4,NA,Practice,3,NA
4,NA,ITI,NA,1547
4,NA,Practice,4,NA
4,NA,ITI,NA,1973
4,NA,Practice,3,NA
4,NA,ITI,NA,1715
4,NA,Practice,3,NA
4,NA,ITI,NA,1698
4,NA,Practice,3,NA
4,NA,ITI,NA,1216
4,NA,Practice,4,NA
4,NA,ITI,NA,1977
4,NA,Practice,4,NA
4,NA,ITI,NA,1006
4,NA,Practice,3,NA
4,NA,ITI,NA,1253
4,NA,Practice,3,NA
4,NA,ITI,NA,1435
4,NA,Practice,3,NA
4,NA,ITI,NA,1780
4,NA,Practice,4,NA
4,NA,ITI,NA,1197
4,NA,Practice,3,NA
4,NA,ITI,NA,1863
4,NA,Practice,4,NA
4,NA,ITI,NA,1984
4,NA,Practice,3,NA
4,NA,ITI,NA,1164
4,NA,Practice,4,NA
4,NA,ITI,NA,1597
4,NA,Practice,3,NA
4,NA,ITI,NA,1008
4,NA,Practice,3,NA
4,NA,ITI,NA,1386
4,NA,Practice,4,NA
4,NA,ITI,NA,1044
4,NA,Practice,3,NA
4,NA,ITI,NA,1957
4,NA,Practice,3,NA
4,NA,ITI,NA,1436
4,NA,Practice,4,NA
4,NA,ITI,NA,1949
4,NA,Practice,4,NA
4,NA,ITI,NA,1787
4,NA,Practice,3,NA
4,NA,ITI,NA,1867
4,NA,Practice,4,NA
4,NA,ITI,NA,1173
4,NA,Practice,4,NA
4,NA,Break,NA,NA
4,NA,ITI,NA,1000
4,NA,ITI,NA,1833
4,NA,test,4,NA
4,NA,ITI,NA,1515
4,NA,test,4,NA
4,NA,ITI,NA,1930
4,NA,test,3,NA
4,NA,ITI,NA,1572
4,NA,test,3,NA
4,NA,ITI,NA,1129
4,NA,test,4,NA
4,NA,ITI,NA,1844
4,NA,test,3,NA
4,NA,ITI,NA,1831
4,NA,test,4,NA
4,NA,ITI,NA,1488
4,NA,test,3,NA
4,NA,ITI,NA,1787
4,NA,test,3,NA
4,NA,ITI,NA,1810
4,NA,test,3,NA
4,NA,ITI,NA,1690
4,NA,test,3,NA
4,NA,ITI,NA,1510
4,NA,test,3,NA
4,NA,ITI,NA,1651
4,NA,test,3,NA
4,NA,ITI,NA,1927
4,NA,test,4,NA
4,NA,ITI,NA,1938
4,NA,test,3,NA
4,NA,ITI,NA,1667
4,NA,test,3,NA
4,NA,ITI,NA,1236
4,NA,test,4,NA
4,NA,ITI,NA,1148
4,NA,test,4,NA
4,NA,ITI,NA,1481
4,NA,test,3,NA
4,NA,ITI,NA,1364
4,NA,test,4,NA
4,NA,ITI,NA,1928
4,NA,test,3,NA
4,NA,ITI,NA,1866
4,NA,test,4,NA
4,NA,ITI,NA,1177
4,NA,test,3,NA
4,NA,ITI,NA,1350
4,NA,test,4,NA
4,NA,ITI,NA,1153
4,NA,test,4,NA
4,NA,ITI,NA,1189
4,NA,test,3,NA
4,NA,ITI,NA,1968
4,NA,test,3,NA
4,NA,ITI,NA,1473
4,NA,test,3,NA
4,NA,ITI,NA,1320
4,NA,test,4,NA
4,NA,ITI,NA,1393
4,NA,test,3,NA
4,NA,ITI,NA,1886
4,NA,test,3,NA
4,NA,ITI,NA,1619
4,NA,test,4,NA
4,NA,ITI,NA,1545
4,NA,test,4,NA
4,NA,ITI,NA,1437
4,NA,test,4,NA
4,NA,ITI,NA,1371
4,NA,test,3,NA
4,NA,ITI,NA,1261
4,NA,test,4,NA
4,NA,ITI,NA,1137
4,NA,test,3,NA
4,NA,ITI,NA,1412
4,NA,test,3,NA
4,NA,ITI,NA,1112
4,NA,test,4,NA
4,NA,ITI,NA,1419
4,NA,test,4,NA
4,NA,ITI,NA,1072
4,NA,test,4,NA
4,NA,ITI,NA,1903
4,NA,test,4,NA
4,NA,ITI,NA,1193
4,NA,test,4,NA
4,NA,ITI,NA,1980
4,NA,test,3,NA
4,NA,ITI,NA,1002
4,NA,test,3,NA
