Subject Number, Block, Trial Number, Dynomometer Response, Duration
45,NA,ITI,NA,1000
45,study,1,0,1000
45,study,study,NA,NA
45,NA,ITI,NA,1000
45,study,2,0,1500
45,study,study,NA,NA
45,NA,ITI,NA,1000
45,study,3,0,1000
45,study,study,NA,NA
45,NA,ITI,NA,1000
45,study,4,0,1500
45,study,study,NA,NA
45,NA,ITI,NA,1000
45,study,5,0,1000
45,study,study,NA,NA
45,NA,ITI,NA,1000
45,study,6,0,1500
45,study,study,NA,NA
45,NA,ITI,NA,1000
45,study,7,0,1000
45,study,study,NA,NA
45,NA,ITI,NA,1000
45,study,8,0,1500
45,study,study,NA,NA
45,NA,ITI,NA,1000
45,study,9,0,1000
45,study,study,NA,NA
45,NA,ITI,NA,1000
45,study,10,0,1500
45,study,study,NA,NA
45,NA,End of Block,NA,NA
45,NA,ITI,NA,1000
45,NA,Break,NA,NA
45,NA,ITI,NA,1000
45,NA,ITI,NA,1990
45,NA,Practice,4,NA
45,NA,ITI,NA,1550
45,NA,Practice,4,NA
45,NA,ITI,NA,1281
45,NA,Practice,3,NA
45,NA,ITI,NA,1077
45,NA,Practice,4,NA
45,NA,ITI,NA,1444
45,NA,Practice,4,NA
45,NA,ITI,NA,1473
45,NA,Practice,3,NA
45,NA,ITI,NA,1048
45,NA,Practice,4,NA
45,NA,ITI,NA,1163
45,NA,Practice,3,NA
45,NA,ITI,NA,1116
45,NA,Practice,4,NA
45,NA,ITI,NA,1628
45,NA,Practice,3,NA
45,NA,ITI,NA,1857
45,NA,Practice,3,NA
45,NA,ITI,NA,1650
45,NA,Practice,4,NA
45,NA,ITI,NA,1991
45,NA,Practice,4,NA
45,NA,ITI,NA,1470
45,NA,Practice,4,NA
45,NA,ITI,NA,1618
45,NA,Practice,4,NA
45,NA,ITI,NA,1282
45,NA,Practice,3,NA
45,NA,ITI,NA,1976
45,NA,Practice,4,NA
45,NA,ITI,NA,1673
45,NA,Practice,4,NA
45,NA,ITI,NA,1440
45,NA,Practice,3,NA
45,NA,ITI,NA,1289
45,NA,Practice,4,NA
45,NA,ITI,NA,1510
45,NA,Practice,4,NA
45,NA,ITI,NA,1112
45,NA,Practice,4,NA
45,NA,ITI,NA,1227
45,NA,Practice,3,NA
45,NA,ITI,NA,1479
