Subject Number, Block, Trial Number, Dynomometer Response, Duration
44,NA,ITI,NA,1000
44,study,1,1,1000
44,study,study,NA,NA
44,NA,ITI,NA,1000
44,study,2,0,1500
44,study,study,NA,NA
44,NA,ITI,NA,1000
44,study,3,0,1000
44,study,study,NA,NA
44,NA,ITI,NA,1000
44,study,4,0,1500
44,study,study,NA,NA
44,NA,ITI,NA,1000
44,study,5,0,1000
44,study,study,NA,NA
44,NA,ITI,NA,1000
44,study,6,0,1500
44,study,study,NA,NA
44,NA,ITI,NA,1000
44,study,7,0,1000
44,study,study,NA,NA
44,NA,ITI,NA,1000
44,study,8,0,1500
44,study,study,NA,NA
44,NA,ITI,NA,1000
44,study,9,0,1000
44,study,study,NA,NA
44,NA,ITI,NA,1000
44,study,10,0,1500
44,study,study,NA,NA
44,NA,End of Block,NA,NA
44,NA,ITI,NA,1000
44,NA,Break,NA,NA
44,NA,ITI,NA,1000
44,NA,ITI,NA,1835
44,NA,Practice,4,NA
44,NA,ITI,NA,1104
44,NA,Practice,4,NA
44,NA,ITI,NA,1745
44,NA,Practice,3,NA
44,NA,ITI,NA,1360
44,NA,Practice,4,NA
44,NA,ITI,NA,1359
44,NA,Practice,4,NA
44,NA,ITI,NA,1609
44,NA,Practice,4,NA
44,NA,ITI,NA,1394
44,NA,Practice,3,NA
44,NA,ITI,NA,1409
44,NA,Practice,4,NA
44,NA,ITI,NA,1510
44,NA,Practice,3,NA
44,NA,ITI,NA,1710
44,NA,Practice,4,NA
44,NA,ITI,NA,1961
44,NA,Practice,3,NA
44,NA,ITI,NA,1457
44,NA,Practice,3,NA
44,NA,ITI,NA,1428
44,NA,Practice,3,NA
44,NA,ITI,NA,1113
44,NA,Practice,4,NA
44,NA,ITI,NA,1218
44,NA,Practice,4,NA
44,NA,ITI,NA,1958
44,NA,Practice,3,NA
44,NA,ITI,NA,1944
44,NA,Practice,4,NA
44,NA,ITI,NA,1882
44,NA,Practice,3,NA
44,NA,ITI,NA,1647
44,NA,Practice,4,NA
44,NA,ITI,NA,1214
44,NA,Practice,4,NA
44,NA,ITI,NA,1637
44,NA,Practice,4,NA
44,NA,ITI,NA,1139
44,NA,Practice,3,NA
44,NA,ITI,NA,1459
44,NA,Practice,4,NA
44,NA,ITI,NA,1874
44,NA,Practice,4,NA
44,NA,ITI,NA,1258
44,NA,Practice,3,NA
44,NA,Break,NA,NA
44,NA,ITI,NA,1000
44,NA,ITI,NA,1749
44,NA,test,4,NA
44,NA,ITI,NA,1867
44,NA,test,4,NA
44,NA,ITI,NA,1804
44,NA,test,3,NA
44,NA,ITI,NA,1018
44,NA,test,3,NA
44,NA,ITI,NA,1077
44,NA,test,0,NA
44,NA,ITI,NA,1183
44,NA,test,3,NA
44,NA,ITI,NA,1841
44,NA,test,3,NA
44,NA,ITI,NA,1112
44,NA,test,4,NA
44,NA,ITI,NA,1228
44,NA,test,3,NA
44,NA,ITI,NA,1854
44,NA,test,3,NA
44,NA,ITI,NA,1127
44,NA,test,4,NA
44,NA,ITI,NA,1048
44,NA,test,4,NA
44,NA,ITI,NA,1765
44,NA,test,4,NA
44,NA,ITI,NA,1499
44,NA,test,4,NA
44,NA,ITI,NA,1606
44,NA,test,4,NA
44,NA,ITI,NA,1503
44,NA,test,4,NA
44,NA,ITI,NA,1196
44,NA,test,3,NA
44,NA,ITI,NA,1765
44,NA,test,4,NA
44,NA,ITI,NA,1607
44,NA,test,3,NA
44,NA,ITI,NA,1347
44,NA,test,3,NA
44,NA,ITI,NA,1753
44,NA,test,4,NA
44,NA,ITI,NA,1932
44,NA,test,4,NA
44,NA,ITI,NA,1857
44,NA,test,3,NA
44,NA,ITI,NA,1299
44,NA,test,4,NA
44,NA,ITI,NA,1226
44,NA,test,4,NA
44,NA,ITI,NA,1551
44,NA,test,4,NA
