Subject Number, Block, Trial Number, Dynomometer Response, Duration
10,NA,ITI,NA,1000
10,study,1,0,1000
10,study,study,NA,NA
10,NA,ITI,NA,1000
10,study,2,0,1500
10,study,study,NA,NA
10,NA,ITI,NA,1000
10,study,3,0,1000
10,study,study,NA,NA
10,NA,ITI,NA,1000
10,study,4,0,1500
10,study,study,NA,NA
10,NA,ITI,NA,1000
10,study,5,2,1000
10,study,study,NA,NA
10,NA,ITI,NA,1000
10,study,6,0,1500
10,study,study,NA,NA
10,NA,ITI,NA,1000
10,study,7,0,1000
10,study,study,NA,NA
10,NA,ITI,NA,1000
10,study,8,0,1500
10,study,study,NA,NA
10,NA,ITI,NA,1000
10,study,9,0,1000
10,study,study,NA,NA
10,NA,ITI,NA,1000
10,study,10,0,1500
10,study,study,NA,NA
10,NA,End of Block,NA,NA
10,NA,ITI,NA,1000
10,NA,Break,NA,NA
10,NA,ITI,NA,1000
10,NA,ITI,NA,1772
10,NA,Practice,4,NA
10,NA,ITI,NA,1020
10,NA,Practice,4,NA
10,NA,ITI,NA,1634
10,NA,Practice,3,NA
10,NA,ITI,NA,1749
10,NA,Practice,3,NA
10,NA,ITI,NA,1499
10,NA,Practice,3,NA
10,NA,ITI,NA,1225
10,NA,Practice,4,NA
10,NA,ITI,NA,1198
10,NA,Practice,3,NA
10,NA,ITI,NA,1761
10,NA,Practice,4,NA
10,NA,ITI,NA,1169
10,NA,Practice,4,NA
10,NA,ITI,NA,1088
10,NA,Practice,4,NA
10,NA,ITI,NA,1686
10,NA,Practice,3,NA
10,NA,ITI,NA,1954
10,NA,Practice,3,NA
10,NA,ITI,NA,1003
10,NA,Practice,4,NA
10,NA,ITI,NA,1512
10,NA,Practice,3,NA
10,NA,ITI,NA,1813
10,NA,Practice,4,NA
10,NA,ITI,NA,1613
10,NA,Practice,4,NA
10,NA,ITI,NA,1722
10,NA,Practice,3,NA
10,NA,ITI,NA,1292
10,NA,Practice,3,NA
10,NA,ITI,NA,1918
10,NA,Practice,3,NA
10,NA,ITI,NA,1715
10,NA,Practice,4,NA
10,NA,ITI,NA,1543
10,NA,Practice,4,NA
10,NA,ITI,NA,1142
10,NA,Practice,3,NA
10,NA,ITI,NA,1373
10,NA,Practice,3,NA
10,NA,ITI,NA,1674
10,NA,Practice,4,NA
10,NA,ITI,NA,1442
10,NA,Practice,3,NA
10,NA,Break,NA,NA
10,NA,ITI,NA,1000
10,NA,ITI,NA,1605
10,NA,test,3,NA
10,NA,ITI,NA,1262
10,NA,test,3,NA
10,NA,ITI,NA,1283
10,NA,test,3,NA
10,NA,ITI,NA,1301
10,NA,test,4,NA
10,NA,ITI,NA,1506
10,NA,test,3,NA
10,NA,ITI,NA,1025
10,NA,test,4,NA
10,NA,ITI,NA,1038
10,NA,test,4,NA
10,NA,ITI,NA,1303
10,NA,test,4,NA
10,NA,ITI,NA,1332
10,NA,test,4,NA
