Subject Number, Block, Trial Number, Dynomometer Response, Duration
21,NA,ITI,NA,1000
21,study,1,1,1000
21,study,study,NA,NA
21,NA,ITI,NA,1000
21,study,2,1,1500
21,study,study,NA,NA
21,NA,ITI,NA,1000
21,study,3,0,1000
21,study,study,NA,NA
21,NA,ITI,NA,1000
21,study,4,0,1500
21,study,study,NA,NA
21,NA,ITI,NA,1000
21,study,5,0,1000
21,study,study,NA,NA
21,NA,ITI,NA,1000
21,study,6,0,1500
21,study,study,NA,NA
21,NA,ITI,NA,1000
21,study,7,0,1000
21,study,study,NA,NA
21,NA,ITI,NA,1000
21,study,8,0,1500
21,study,study,NA,NA
21,NA,ITI,NA,1000
21,study,9,0,1000
21,study,study,NA,NA
21,NA,ITI,NA,1000
21,study,10,0,1500
21,study,study,NA,NA
21,NA,End of Block,NA,NA
21,NA,ITI,NA,1000
21,NA,Break,NA,NA
21,NA,ITI,NA,1000
21,NA,ITI,NA,1048
21,NA,Practice,4,NA
21,NA,ITI,NA,1289
21,NA,Practice,4,NA
21,NA,ITI,NA,1721
21,NA,Practice,4,NA
21,NA,ITI,NA,1021
21,NA,Practice,4,NA
21,NA,ITI,NA,1206
21,NA,Practice,4,NA
21,NA,ITI,NA,1050
21,NA,Practice,3,NA
21,NA,ITI,NA,1302
21,NA,Practice,4,NA
21,NA,ITI,NA,1664
21,NA,Practice,3,NA
21,NA,ITI,NA,1308
21,NA,Practice,4,NA
21,NA,ITI,NA,1584
21,NA,Practice,3,NA
21,NA,ITI,NA,1069
21,NA,Practice,3,NA
21,NA,ITI,NA,1868
21,NA,Practice,3,NA
21,NA,ITI,NA,1133
21,NA,Practice,3,NA
21,NA,ITI,NA,1178
21,NA,Practice,3,NA
21,NA,ITI,NA,1496
21,NA,Practice,3,NA
21,NA,ITI,NA,1864
21,NA,Practice,4,NA
21,NA,ITI,NA,1759
21,NA,Practice,3,NA
21,NA,ITI,NA,1971
21,NA,Practice,4,NA
21,NA,ITI,NA,1760
21,NA,Practice,3,NA
21,NA,ITI,NA,1384
21,NA,Practice,3,NA
21,NA,ITI,NA,1409
21,NA,Practice,4,NA
21,NA,ITI,NA,1714
21,NA,Practice,4,NA
21,NA,ITI,NA,1270
21,NA,Practice,4,NA
21,NA,ITI,NA,1854
21,NA,Practice,4,NA
21,NA,ITI,NA,1914
21,NA,Practice,3,NA
21,NA,Break,NA,NA
21,NA,ITI,NA,1000
21,NA,ITI,NA,1221
21,NA,test,3,NA
21,NA,ITI,NA,1382
21,NA,test,3,NA
21,NA,ITI,NA,1772
21,NA,test,4,NA
21,NA,ITI,NA,1571
