Subject Number, Block, Trial Number, Dynomometer Response, Duration
20,NA,ITI,NA,1000
20,study,1,2,1000
20,study,study,NA,NA
20,NA,ITI,NA,1000
20,study,2,0,1500
20,study,study,NA,NA
20,NA,ITI,NA,1000
20,study,3,2,1000
20,study,study,NA,NA
20,NA,ITI,NA,1000
20,study,4,0,1500
20,study,study,NA,NA
20,NA,ITI,NA,1000
20,study,5,2,1000
20,study,study,NA,NA
20,NA,ITI,NA,1000
20,study,6,0,1500
20,study,study,NA,NA
20,NA,ITI,NA,1000
20,study,7,0,1000
20,study,study,NA,NA
20,NA,ITI,NA,1000
20,study,8,0,1500
20,study,study,NA,NA
20,NA,ITI,NA,1000
20,study,9,0,1000
20,study,study,NA,NA
20,NA,ITI,NA,1000
20,study,10,0,1500
20,study,study,NA,NA
20,NA,End of Block,NA,NA
20,NA,ITI,NA,1000
20,NA,Break,NA,NA
20,NA,ITI,NA,1000
20,NA,ITI,NA,1588
20,NA,Practice,3,NA
20,NA,ITI,NA,1898
20,NA,Practice,3,NA
20,NA,ITI,NA,1892
20,NA,Practice,3,NA
20,NA,ITI,NA,1816
20,NA,Practice,3,NA
20,NA,ITI,NA,1035
20,NA,Practice,3,NA
20,NA,ITI,NA,1692
20,NA,Practice,3,NA
20,NA,ITI,NA,1379
20,NA,Practice,3,NA
20,NA,ITI,NA,1519
20,NA,Practice,4,NA
20,NA,ITI,NA,1658
20,NA,Practice,3,NA
20,NA,ITI,NA,1194
20,NA,Practice,3,NA
20,NA,ITI,NA,1272
20,NA,Practice,3,NA
20,NA,ITI,NA,1719
20,NA,Practice,3,NA
20,NA,ITI,NA,1783
20,NA,Practice,4,NA
20,NA,ITI,NA,1851
20,NA,Practice,3,NA
20,NA,ITI,NA,1776
20,NA,Practice,4,NA
20,NA,ITI,NA,1036
20,NA,Practice,3,NA
20,NA,ITI,NA,1116
20,NA,Practice,4,NA
20,NA,ITI,NA,1752
20,NA,Practice,3,NA
20,NA,ITI,NA,1239
20,NA,Practice,4,NA
20,NA,ITI,NA,1255
20,NA,Practice,3,NA
20,NA,ITI,NA,1858
20,NA,Practice,3,NA
20,NA,ITI,NA,1950
20,NA,Practice,3,NA
20,NA,ITI,NA,1562
20,NA,Practice,3,NA
20,NA,ITI,NA,1178
20,NA,Practice,4,NA
20,NA,ITI,NA,1771
20,NA,Practice,4,NA
20,NA,Break,NA,NA
20,NA,ITI,NA,1000
20,NA,ITI,NA,1473
20,NA,test,3,NA
20,NA,ITI,NA,1165
20,NA,test,3,NA
20,NA,ITI,NA,1856
20,NA,test,3,NA
20,NA,ITI,NA,1332
20,NA,test,4,NA
20,NA,ITI,NA,1527
20,NA,test,3,NA
20,NA,ITI,NA,1165
20,NA,test,3,NA
20,NA,ITI,NA,1327
20,NA,test,4,NA
20,NA,ITI,NA,1915
20,NA,test,4,NA
20,NA,ITI,NA,1753
20,NA,test,4,NA
20,NA,ITI,NA,1284
20,NA,test,4,NA
20,NA,ITI,NA,1990
20,NA,test,4,NA
20,NA,ITI,NA,1107
20,NA,test,3,NA
20,NA,ITI,NA,1603
20,NA,test,4,NA
20,NA,ITI,NA,1117
20,NA,test,3,NA
20,NA,ITI,NA,1773
20,NA,test,3,NA
20,NA,ITI,NA,1756
20,NA,test,4,NA
20,NA,ITI,NA,1881
20,NA,test,4,NA
20,NA,ITI,NA,1839
20,NA,test,3,NA
20,NA,ITI,NA,1211
20,NA,test,4,NA
