Subject Number, Block, Trial Number, Dynomometer Response, Duration
5,NA,ITI,NA,1000
5,study,1,0,1000
5,study,study,NA,NA
5,NA,ITI,NA,1000
5,study,2,0,1500
5,study,study,NA,NA
5,NA,ITI,NA,1000
5,study,3,0,1000
5,study,study,NA,NA
5,NA,ITI,NA,1000
5,study,4,0,1500
5,study,study,NA,NA
5,NA,ITI,NA,1000
5,study,5,0,1000
5,study,study,NA,NA
5,NA,ITI,NA,1000
5,study,6,0,1500
5,study,study,NA,NA
5,NA,ITI,NA,1000
5,study,7,0,1000
5,study,study,NA,NA
5,NA,ITI,NA,1000
5,study,8,0,1500
5,study,study,NA,NA
5,NA,ITI,NA,1000
5,study,9,0,1000
5,study,study,NA,NA
5,NA,ITI,NA,1000
5,study,10,0,1500
5,study,study,NA,NA
5,NA,End of Block,NA,NA
5,NA,ITI,NA,1000
5,NA,Break,NA,NA
5,NA,ITI,NA,1000
5,NA,ITI,NA,1222
5,NA,Practice,3,NA
5,NA,ITI,NA,1871
5,NA,Practice,4,NA
5,NA,ITI,NA,1206
5,NA,Practice,3,NA
5,NA,ITI,NA,1919
5,NA,Practice,4,NA
5,NA,ITI,NA,1488
5,NA,Practice,3,NA
5,NA,ITI,NA,1612
5,NA,Practice,3,NA
5,NA,ITI,NA,1766
5,NA,Practice,3,NA
5,NA,ITI,NA,1518
5,NA,Practice,3,NA
5,NA,ITI,NA,1297
5,NA,Practice,4,NA
5,NA,ITI,NA,1187
5,NA,Practice,4,NA
5,NA,ITI,NA,1080
5,NA,Practice,4,NA
5,NA,ITI,NA,1739
5,NA,Practice,3,NA
5,NA,ITI,NA,1441
5,NA,Practice,3,NA
5,NA,ITI,NA,1158
5,NA,Practice,4,NA
5,NA,ITI,NA,1880
5,NA,Practice,3,NA
5,NA,ITI,NA,1274
5,NA,Practice,3,NA
5,NA,ITI,NA,1414
5,NA,Practice,3,NA
5,NA,ITI,NA,1296
5,NA,Practice,4,NA
5,NA,ITI,NA,1629
5,NA,Practice,4,NA
5,NA,ITI,NA,1580
5,NA,Practice,3,NA
5,NA,ITI,NA,1600
5,NA,Practice,4,NA
5,NA,ITI,NA,1266
5,NA,Practice,3,NA
5,NA,ITI,NA,1284
5,NA,Practice,3,NA
5,NA,ITI,NA,1253
5,NA,Practice,4,NA
5,NA,ITI,NA,1327
5,NA,Practice,3,NA
5,NA,Break,NA,NA
5,NA,ITI,NA,1000
5,NA,ITI,NA,1995
5,NA,test,4,NA
5,NA,ITI,NA,1346
5,NA,test,4,NA
5,NA,ITI,NA,1353
5,NA,test,4,NA
5,NA,ITI,NA,1100
5,NA,test,4,NA
5,NA,ITI,NA,1484
5,NA,test,3,NA
5,NA,ITI,NA,1383
5,NA,test,4,NA
5,NA,ITI,NA,1742
5,NA,test,3,NA
5,NA,ITI,NA,1510
5,NA,test,4,NA
5,NA,ITI,NA,1373
5,NA,test,4,NA
5,NA,ITI,NA,1962
5,NA,test,4,NA
5,NA,ITI,NA,1035
5,NA,test,3,NA
5,NA,ITI,NA,1371
5,NA,test,3,NA
5,NA,ITI,NA,1152
5,NA,test,3,NA
5,NA,ITI,NA,1012
5,NA,test,3,NA
5,NA,ITI,NA,1322
5,NA,test,3,NA
5,NA,ITI,NA,1860
5,NA,test,4,NA
5,NA,ITI,NA,1117
5,NA,test,3,NA
5,NA,ITI,NA,1111
5,NA,test,3,NA
5,NA,ITI,NA,1360
5,NA,test,4,NA
5,NA,ITI,NA,1478
5,NA,test,4,NA
5,NA,ITI,NA,1698
5,NA,test,4,NA
5,NA,ITI,NA,1850
5,NA,test,4,NA
5,NA,ITI,NA,1793
5,NA,test,4,NA
5,NA,ITI,NA,1515
5,NA,test,3,NA
5,NA,ITI,NA,1446
5,NA,test,4,NA
5,NA,ITI,NA,1447
5,NA,test,4,NA
5,NA,ITI,NA,1971
5,NA,test,3,NA
5,NA,ITI,NA,1801
5,NA,test,4,NA
5,NA,ITI,NA,1511
5,NA,test,4,NA
5,NA,ITI,NA,1020
5,NA,test,3,NA
5,NA,ITI,NA,1486
5,NA,test,4,NA
5,NA,ITI,NA,1573
5,NA,test,3,NA
5,NA,ITI,NA,1053
5,NA,test,3,NA
5,NA,ITI,NA,1411
5,NA,test,3,NA
5,NA,ITI,NA,1246
5,NA,test,4,NA
5,NA,ITI,NA,1986
5,NA,test,4,NA
5,NA,ITI,NA,1756
5,NA,test,4,NA
5,NA,ITI,NA,1802
5,NA,test,3,NA
5,NA,ITI,NA,1628
5,NA,test,4,NA
5,NA,ITI,NA,1054
5,NA,test,3,NA
