Subject Number, Block, Trial Number, Dynomometer Response, Duration
40,NA,ITI,NA,1000
40,study,1,0,1000
40,study,study,NA,NA
40,NA,ITI,NA,1000
40,study,2,0,1500
40,study,study,NA,NA
40,NA,ITI,NA,1000
40,study,3,0,1000
40,study,study,NA,NA
40,NA,ITI,NA,1000
40,study,4,0,1500
40,study,study,NA,NA
40,NA,ITI,NA,1000
40,study,5,0,1000
40,study,study,NA,NA
40,NA,ITI,NA,1000
40,study,6,0,1500
40,study,study,NA,NA
40,NA,ITI,NA,1000
40,study,7,0,1000
40,study,study,NA,NA
40,NA,ITI,NA,1000
40,study,8,0,1500
40,study,study,NA,NA
40,NA,ITI,NA,1000
40,study,9,0,1000
40,study,study,NA,NA
40,NA,ITI,NA,1000
40,study,10,0,1500
40,study,study,NA,NA
40,NA,End of Block,NA,NA
40,NA,ITI,NA,1000
40,NA,Break,NA,NA
40,NA,ITI,NA,1000
40,NA,ITI,NA,1408
40,NA,Practice,3,NA
40,NA,ITI,NA,1055
40,NA,Practice,4,NA
40,NA,ITI,NA,1789
40,NA,Practice,3,NA
40,NA,ITI,NA,1287
40,NA,Practice,4,NA
40,NA,ITI,NA,1450
40,NA,Practice,3,NA
40,NA,ITI,NA,1304
40,NA,Practice,4,NA
40,NA,ITI,NA,1526
40,NA,Practice,4,NA
40,NA,ITI,NA,1624
40,NA,Practice,3,NA
40,NA,ITI,NA,1777
40,NA,Practice,4,NA
40,NA,ITI,NA,1686
40,NA,Practice,3,NA
40,NA,ITI,NA,1981
40,NA,Practice,4,NA
40,NA,ITI,NA,1601
40,NA,Practice,4,NA
40,NA,ITI,NA,1814
40,NA,Practice,4,NA
40,NA,ITI,NA,1709
40,NA,Practice,4,NA
40,NA,ITI,NA,1027
40,NA,Practice,4,NA
40,NA,ITI,NA,1905
40,NA,Practice,4,NA
40,NA,ITI,NA,1450
40,NA,Practice,4,NA
40,NA,ITI,NA,1119
40,NA,Practice,4,NA
40,NA,ITI,NA,1836
40,NA,Practice,3,NA
40,NA,ITI,NA,1202
40,NA,Practice,4,NA
40,NA,ITI,NA,1174
40,NA,Practice,4,NA
40,NA,ITI,NA,1449
40,NA,Practice,3,NA
40,NA,ITI,NA,1670
40,NA,Practice,4,NA
40,NA,ITI,NA,1958
40,NA,Practice,3,NA
40,NA,ITI,NA,1834
40,NA,Practice,4,NA
40,NA,ITI,NA,1508
40,NA,Practice,4,NA
40,NA,ITI,NA,1630
40,NA,Practice,4,NA
40,NA,ITI,NA,1835
40,NA,Practice,4,NA
40,NA,ITI,NA,1447
40,NA,Practice,4,NA
40,NA,ITI,NA,1763
40,NA,Practice,4,NA
40,NA,ITI,NA,1637
40,NA,Practice,4,NA
