Subject Number, Block, Trial Number, Dynomometer Response, Duration
2,NA,ITI,NA,1000
2,study,1,1,1000
2,study,study,NA,NA
2,NA,ITI,NA,1000
2,study,2,0,1500
2,study,study,NA,NA
2,NA,ITI,NA,1000
2,study,3,0,1000
2,study,study,NA,NA
2,NA,ITI,NA,1000
2,study,4,0,1500
2,study,study,NA,NA
2,NA,ITI,NA,1000
2,study,5,0,1000
2,study,study,NA,NA
2,NA,ITI,NA,1000
2,study,6,0,1500
2,study,study,NA,NA
2,NA,ITI,NA,1000
2,study,7,0,1000
2,study,study,NA,NA
2,NA,ITI,NA,1000
2,study,8,0,1500
2,study,study,NA,NA
2,NA,ITI,NA,1000
2,study,9,0,1000
2,study,study,NA,NA
2,NA,ITI,NA,1000
2,study,10,0,1500
2,study,study,NA,NA
2,NA,End of Block,NA,NA
2,NA,ITI,NA,1000
2,NA,Break,NA,NA
2,NA,ITI,NA,1000
2,NA,ITI,NA,1436
2,NA,Practice,4,NA
2,NA,ITI,NA,1025
2,NA,Practice,3,NA
2,NA,ITI,NA,1550
2,NA,Practice,3,NA
2,NA,ITI,NA,1435
2,NA,Practice,4,NA
2,NA,ITI,NA,1420
2,NA,Practice,4,NA
2,NA,ITI,NA,1330
2,NA,Practice,4,NA
2,NA,ITI,NA,1204
2,NA,Practice,3,NA
2,NA,ITI,NA,1619
2,NA,Practice,4,NA
2,NA,ITI,NA,1299
2,NA,Practice,4,NA
2,NA,ITI,NA,1267
2,NA,Practice,3,NA
2,NA,ITI,NA,1621
2,NA,Practice,4,NA
2,NA,ITI,NA,1529
2,NA,Practice,3,NA
2,NA,ITI,NA,1134
2,NA,Practice,4,NA
2,NA,ITI,NA,1514
2,NA,Practice,3,NA
2,NA,ITI,NA,1184
2,NA,Practice,3,NA
2,NA,ITI,NA,1786
2,NA,Practice,4,NA
2,NA,ITI,NA,1854
2,NA,Practice,4,NA
2,NA,ITI,NA,1494
2,NA,Practice,4,NA
2,NA,ITI,NA,1847
2,NA,Practice,4,NA
2,NA,ITI,NA,1079
2,NA,Practice,3,NA
2,NA,ITI,NA,1505
2,NA,Practice,4,NA
2,NA,ITI,NA,1065
2,NA,Practice,4,NA
2,NA,ITI,NA,1428
2,NA,Practice,4,NA
2,NA,ITI,NA,1096
2,NA,Practice,4,NA
2,NA,ITI,NA,1127
2,NA,Practice,4,NA
2,NA,Break,NA,NA
2,NA,ITI,NA,1000
2,NA,ITI,NA,1503
2,NA,test,3,NA
2,NA,ITI,NA,1387
2,NA,test,4,NA
2,NA,ITI,NA,1768
2,NA,test,4,NA
2,NA,ITI,NA,1497
2,NA,test,4,NA
2,NA,ITI,NA,1915
2,NA,test,4,NA
2,NA,ITI,NA,1415
2,NA,test,4,NA
2,NA,ITI,NA,1827
2,NA,test,4,NA
2,NA,ITI,NA,1351
2,NA,test,4,NA
2,NA,ITI,NA,1412
2,NA,test,4,NA
2,NA,ITI,NA,1551
2,NA,test,4,NA
2,NA,ITI,NA,1631
2,NA,test,4,NA
2,NA,ITI,NA,1973
2,NA,test,4,NA
2,NA,ITI,NA,1342
2,NA,test,4,NA
2,NA,ITI,NA,1112
2,NA,test,3,NA
2,NA,ITI,NA,1382
2,NA,test,3,NA
2,NA,ITI,NA,1313
2,NA,test,4,NA
2,NA,ITI,NA,1963
2,NA,test,3,NA
2,NA,ITI,NA,1041
2,NA,test,4,NA
2,NA,ITI,NA,1647
2,NA,test,4,NA
2,NA,ITI,NA,1739
2,NA,test,4,NA
2,NA,ITI,NA,1958
2,NA,test,4,NA
2,NA,ITI,NA,1658
2,NA,test,4,NA
2,NA,ITI,NA,1804
2,NA,test,3,NA
2,NA,ITI,NA,1214
2,NA,test,3,NA
2,NA,ITI,NA,1229
2,NA,test,4,NA
2,NA,ITI,NA,1417
2,NA,test,4,NA
2,NA,ITI,NA,1880
2,NA,test,4,NA
2,NA,ITI,NA,1644
2,NA,test,4,NA
2,NA,ITI,NA,1593
2,NA,test,4,NA
2,NA,ITI,NA,1662
2,NA,test,4,NA
2,NA,ITI,NA,1786
2,NA,test,4,NA
2,NA,ITI,NA,1170
2,NA,test,4,NA
2,NA,ITI,NA,1532
2,NA,test,4,NA
2,NA,ITI,NA,1882
2,NA,test,3,NA
2,NA,ITI,NA,1969
2,NA,test,3,NA
2,NA,ITI,NA,1778
2,NA,test,4,NA
2,NA,ITI,NA,1575
2,NA,test,4,NA
2,NA,ITI,NA,1134
2,NA,test,4,NA
2,NA,ITI,NA,1477
2,NA,test,4,NA
2,NA,ITI,NA,1869
2,NA,test,4,NA
2,NA,ITI,NA,1421
2,NA,test,4,NA
2,NA,ITI,NA,1749
2,NA,test,3,NA
2,NA,ITI,NA,1599
2,NA,test,4,NA
2,NA,ITI,NA,1799
2,NA,test,4,NA
2,NA,ITI,NA,1106
2,NA,test,4,NA
2,NA,ITI,NA,1543
2,NA,test,4,NA
2,NA,ITI,NA,1368
2,NA,test,4,NA
2,NA,ITI,NA,1221
2,NA,test,4,NA
2,NA,ITI,NA,1216
2,NA,test,4,NA
2,NA,ITI,NA,1919
2,NA,test,4,NA
2,NA,ITI,NA,1808
2,NA,test,4,NA
2,NA,ITI,NA,1592
2,NA,test,3,NA
2,NA,ITI,NA,1799
2,NA,test,4,NA
2,NA,ITI,NA,1346
2,NA,test,4,NA
2,NA,ITI,NA,1555
2,NA,test,4,NA
2,NA,ITI,NA,1264
2,NA,test,3,NA
2,NA,ITI,NA,1896
2,NA,test,3,NA
2,NA,ITI,NA,1914
2,NA,test,4,NA
2,NA,ITI,NA,1930
2,NA,test,4,NA
2,NA,ITI,NA,1420
2,NA,test,4,NA
2,NA,ITI,NA,1978
2,NA,test,0,NA
2,NA,ITI,NA,1540
2,NA,test,4,NA
2,NA,ITI,NA,1918
2,NA,test,4,NA
2,NA,ITI,NA,1609
2,NA,test,3,NA
2,NA,ITI,NA,1040
2,NA,test,4,NA
2,NA,ITI,NA,1827
2,NA,test,3,NA
2,NA,ITI,NA,1733
2,NA,test,4,NA
2,NA,ITI,NA,1624
2,NA,test,3,NA
2,NA,ITI,NA,1897
2,NA,test,3,NA
2,NA,ITI,NA,1176
2,NA,test,4,NA
2,NA,ITI,NA,1838
2,NA,test,4,NA
2,NA,ITI,NA,1591
2,NA,test,4,NA
2,NA,ITI,NA,1536
2,NA,test,3,NA
2,NA,ITI,NA,1489
2,NA,test,4,NA
2,NA,ITI,NA,1321
2,NA,test,3,NA
2,NA,ITI,NA,1548
2,NA,test,4,NA
2,NA,ITI,NA,1397
2,NA,test,3,NA
2,NA,ITI,NA,1700
2,NA,test,4,NA
2,NA,ITI,NA,1277
2,NA,test,4,NA
2,NA,ITI,NA,1246
2,NA,test,3,NA
2,NA,ITI,NA,1937
2,NA,test,3,NA
2,NA,ITI,NA,1186
2,NA,test,4,NA
2,NA,ITI,NA,1464
2,NA,test,4,NA
2,NA,ITI,NA,1110
2,NA,test,3,NA
2,NA,ITI,NA,1853
2,NA,test,4,NA
2,NA,ITI,NA,1274
2,NA,test,4,NA
2,NA,ITI,NA,1212
2,NA,test,3,NA
2,NA,ITI,NA,1010
2,NA,test,4,NA
2,NA,ITI,NA,1000
2,NA,test,4,NA
2,NA,ITI,NA,1629
2,NA,test,4,NA
2,NA,ITI,NA,1092
2,NA,test,4,NA
2,NA,ITI,NA,1295
2,NA,test,4,NA
2,NA,ITI,NA,1175
2,NA,test,4,NA
2,NA,ITI,NA,1187
2,NA,test,3,NA
2,NA,ITI,NA,1515
2,NA,test,4,NA
2,NA,ITI,NA,1095
