Subject Number, Block, Trial Number, Dynomometer Response, Duration
41,NA,ITI,NA,1000
41,study,1,0,1000
41,study,study,NA,NA
41,NA,ITI,NA,1000
41,study,2,0,1500
41,study,study,NA,NA
41,NA,ITI,NA,1000
41,study,3,0,1000
41,study,study,NA,NA
41,NA,ITI,NA,1000
41,study,4,0,1500
41,study,study,NA,NA
41,NA,ITI,NA,1000
41,study,5,0,1000
41,study,study,NA,NA
41,NA,ITI,NA,1000
41,study,6,2,1500
41,study,study,NA,NA
41,NA,ITI,NA,1000
41,study,7,1,1000
41,study,study,NA,NA
41,NA,ITI,NA,1000
41,study,8,1,1500
41,study,study,NA,NA
41,NA,ITI,NA,1000
41,study,9,1,1000
41,study,study,NA,NA
41,NA,ITI,NA,1000
41,study,10,0,1500
41,study,study,NA,NA
41,NA,End of Block,NA,NA
41,NA,ITI,NA,1000
41,NA,Break,NA,NA
41,NA,ITI,NA,1000
41,NA,ITI,NA,1251
41,NA,Practice,4,NA
41,NA,ITI,NA,1046
41,NA,Practice,3,NA
41,NA,ITI,NA,1677
41,NA,Practice,3,NA
41,NA,ITI,NA,1043
41,NA,Practice,4,NA
41,NA,ITI,NA,1116
41,NA,Practice,4,NA
41,NA,ITI,NA,1604
41,NA,Practice,4,NA
41,NA,ITI,NA,1191
41,NA,Practice,4,NA
41,NA,ITI,NA,1669
41,NA,Practice,4,NA
41,NA,ITI,NA,1918
41,NA,Practice,4,NA
41,NA,ITI,NA,1419
41,NA,Practice,4,NA
41,NA,ITI,NA,1332
41,NA,Practice,3,NA
41,NA,ITI,NA,1283
41,NA,Practice,3,NA
41,NA,ITI,NA,1186
41,NA,Practice,4,NA
41,NA,ITI,NA,1317
41,NA,Practice,4,NA
41,NA,ITI,NA,1481
41,NA,Practice,4,NA
41,NA,ITI,NA,1069
41,NA,Practice,3,NA
41,NA,ITI,NA,1705
41,NA,Practice,3,NA
41,NA,ITI,NA,1314
41,NA,Practice,3,NA
41,NA,ITI,NA,1746
41,NA,Practice,3,NA
41,NA,ITI,NA,1398
41,NA,Practice,3,NA
41,NA,ITI,NA,1608
41,NA,Practice,4,NA
41,NA,ITI,NA,1729
41,NA,Practice,4,NA
41,NA,ITI,NA,1422
41,NA,Practice,4,NA
41,NA,ITI,NA,1394
41,NA,Practice,3,NA
41,NA,ITI,NA,1232
41,NA,Practice,3,NA
41,NA,Break,NA,NA
41,NA,ITI,NA,1000
41,NA,ITI,NA,1858
41,NA,test,3,NA
41,NA,ITI,NA,1856
41,NA,test,3,NA
41,NA,ITI,NA,1980
41,NA,test,3,NA
41,NA,ITI,NA,1032
41,NA,test,3,NA
41,NA,ITI,NA,1406
41,NA,test,3,NA
41,NA,ITI,NA,1192
41,NA,test,3,NA
41,NA,ITI,NA,1935
41,NA,test,3,NA
41,NA,ITI,NA,1830
41,NA,test,4,NA
41,NA,ITI,NA,1620
41,NA,test,3,NA
41,NA,ITI,NA,1767
41,NA,test,3,NA
41,NA,ITI,NA,1086
41,NA,test,3,NA
41,NA,ITI,NA,1527
41,NA,test,3,NA
41,NA,ITI,NA,1359
41,NA,test,3,NA
41,NA,ITI,NA,1910
41,NA,test,3,NA
41,NA,ITI,NA,1433
41,NA,test,4,NA
41,NA,ITI,NA,1435
41,NA,test,4,NA
41,NA,ITI,NA,1138
41,NA,test,3,NA
41,NA,ITI,NA,1492
41,NA,test,4,NA
41,NA,ITI,NA,1510
41,NA,test,4,NA
41,NA,ITI,NA,1484
41,NA,test,3,NA
41,NA,ITI,NA,1085
41,NA,test,3,NA
41,NA,ITI,NA,1148
41,NA,test,3,NA
41,NA,ITI,NA,1238
41,NA,test,3,NA
41,NA,ITI,NA,1563
41,NA,test,3,NA
41,NA,ITI,NA,1386
41,NA,test,4,NA
41,NA,ITI,NA,1531
41,NA,test,3,NA
41,NA,ITI,NA,1466
41,NA,test,4,NA
41,NA,ITI,NA,1886
41,NA,test,3,NA
41,NA,ITI,NA,1440
41,NA,test,3,NA
41,NA,ITI,NA,1124
41,NA,test,3,NA
41,NA,ITI,NA,1232
41,NA,test,3,NA
41,NA,ITI,NA,1058
41,NA,test,4,NA
41,NA,ITI,NA,1400
41,NA,test,3,NA
41,NA,ITI,NA,1335
41,NA,test,3,NA
41,NA,ITI,NA,1701
41,NA,test,3,NA
41,NA,ITI,NA,1645
41,NA,test,3,NA
41,NA,ITI,NA,1333
41,NA,test,3,NA
41,NA,ITI,NA,1353
41,NA,test,3,NA
41,NA,ITI,NA,1054
41,NA,test,3,NA
41,NA,ITI,NA,1362
41,NA,test,3,NA
41,NA,ITI,NA,1335
41,NA,test,3,NA
41,NA,ITI,NA,1322
41,NA,test,3,NA
41,NA,ITI,NA,1120
41,NA,test,3,NA
41,NA,ITI,NA,1170
41,NA,test,3,NA
41,NA,ITI,NA,1660
41,NA,test,4,NA
41,NA,ITI,NA,1339
41,NA,test,4,NA
41,NA,ITI,NA,1399
41,NA,test,3,NA
41,NA,ITI,NA,1563
41,NA,test,4,NA
41,NA,ITI,NA,1282
41,NA,test,3,NA
41,NA,ITI,NA,1701
41,NA,test,3,NA
41,NA,ITI,NA,1173
41,NA,test,3,NA
41,NA,ITI,NA,1809
41,NA,test,3,NA
41,NA,ITI,NA,1228
41,NA,test,4,NA
41,NA,ITI,NA,1343
41,NA,test,3,NA
41,NA,ITI,NA,1864
41,NA,test,3,NA
41,NA,ITI,NA,1760
41,NA,test,3,NA
41,NA,ITI,NA,1090
41,NA,test,3,NA
41,NA,ITI,NA,1331
41,NA,test,3,NA
41,NA,ITI,NA,1811
41,NA,test,4,NA
41,NA,ITI,NA,1249
41,NA,test,3,NA
41,NA,ITI,NA,1526
41,NA,test,3,NA
41,NA,ITI,NA,1649
41,NA,test,3,NA
41,NA,ITI,NA,1339
41,NA,test,3,NA
41,NA,ITI,NA,1410
41,NA,test,3,NA
41,NA,ITI,NA,1377
41,NA,test,3,NA
41,NA,ITI,NA,1085
41,NA,test,4,NA
41,NA,ITI,NA,1444
41,NA,test,4,NA
41,NA,ITI,NA,1586
41,NA,test,3,NA
41,NA,ITI,NA,1365
41,NA,test,4,NA
41,NA,ITI,NA,1282
41,NA,test,4,NA
41,NA,ITI,NA,1462
41,NA,test,3,NA
41,NA,ITI,NA,1223
41,NA,test,3,NA
41,NA,ITI,NA,1976
41,NA,test,4,NA
41,NA,ITI,NA,1187
41,NA,test,3,NA
41,NA,ITI,NA,1124
41,NA,test,4,NA
41,NA,ITI,NA,1984
41,NA,test,3,NA
41,NA,ITI,NA,1946
41,NA,test,3,NA
41,NA,ITI,NA,1094
41,NA,test,4,NA
41,NA,ITI,NA,1533
41,NA,test,3,NA
41,NA,ITI,NA,1409
41,NA,test,3,NA
41,NA,ITI,NA,1196
41,NA,test,3,NA
41,NA,ITI,NA,1133
41,NA,test,3,NA
41,NA,ITI,NA,1963
41,NA,test,3,NA
41,NA,ITI,NA,1044
41,NA,test,3,NA
41,NA,ITI,NA,1209
41,NA,test,4,NA
41,NA,ITI,NA,1709
41,NA,test,3,NA
41,NA,ITI,NA,1903
41,NA,test,4,NA
41,NA,ITI,NA,1857
41,NA,test,4,NA
41,NA,ITI,NA,1431
41,NA,test,4,NA
41,NA,ITI,NA,1774
41,NA,test,3,NA
41,NA,ITI,NA,1210
41,NA,test,4,NA
41,NA,ITI,NA,1761
41,NA,test,4,NA
41,NA,ITI,NA,1340
41,NA,test,4,NA
41,NA,ITI,NA,1671
41,NA,test,4,NA
41,NA,ITI,NA,1579
41,NA,test,3,NA
41,NA,ITI,NA,1092
41,NA,test,3,NA
41,NA,ITI,NA,1903
41,NA,test,3,NA
41,NA,ITI,NA,1630
41,NA,test,3,NA
41,NA,ITI,NA,1848
41,NA,test,3,NA
41,NA,ITI,NA,1945
41,NA,test,3,NA
41,NA,ITI,NA,1903
41,NA,test,3,NA
41,NA,ITI,NA,1110
41,NA,test,3,NA
41,NA,ITI,NA,1550
41,NA,test,3,NA
41,NA,ITI,NA,1149
41,NA,test,3,NA
41,NA,ITI,NA,1472
41,NA,test,3,NA
41,NA,ITI,NA,1601
41,NA,test,3,NA
41,NA,ITI,NA,1859
41,NA,test,3,NA
41,NA,ITI,NA,1014
41,NA,test,4,NA
41,NA,ITI,NA,1579
41,NA,test,3,NA
41,NA,ITI,NA,1560
41,NA,test,4,NA
41,NA,ITI,NA,1393
41,NA,test,3,NA
41,NA,ITI,NA,1032
41,NA,test,3,NA
41,NA,ITI,NA,1453
41,NA,test,4,NA
41,NA,ITI,NA,1250
41,NA,test,3,NA
41,NA,ITI,NA,1541
41,NA,test,3,NA
41,NA,ITI,NA,1000
41,NA,ITI,NA,1685
41,NA,test,4,NA
41,NA,ITI,NA,1735
41,NA,test,3,NA
41,NA,ITI,NA,1186
41,NA,test,3,NA
41,NA,ITI,NA,1887
41,NA,test,4,NA
41,NA,ITI,NA,1996
41,NA,test,4,NA
41,NA,ITI,NA,1102
41,NA,test,4,NA
41,NA,ITI,NA,1797
41,NA,test,4,NA
41,NA,ITI,NA,1239
41,NA,test,4,NA
41,NA,ITI,NA,1493
41,NA,test,3,NA
41,NA,ITI,NA,1220
41,NA,test,3,NA
41,NA,ITI,NA,1830
41,NA,test,3,NA
41,NA,ITI,NA,1549
41,NA,test,3,NA
41,NA,ITI,NA,1480
41,NA,test,4,NA
41,NA,ITI,NA,1693
41,NA,test,3,NA
41,NA,ITI,NA,1941
41,NA,test,3,NA
41,NA,ITI,NA,1301
41,NA,test,4,NA
41,NA,ITI,NA,1786
41,NA,test,4,NA
41,NA,ITI,NA,1023
41,NA,test,3,NA
41,NA,ITI,NA,1643
41,NA,test,3,NA
41,NA,ITI,NA,1918
41,NA,test,3,NA
41,NA,ITI,NA,1115
41,NA,test,3,NA
41,NA,ITI,NA,1532
41,NA,test,3,NA
41,NA,ITI,NA,1310
41,NA,test,3,NA
41,NA,ITI,NA,1602
41,NA,test,3,NA
41,NA,ITI,NA,1039
41,NA,test,4,NA
41,NA,ITI,NA,1828
41,NA,test,3,NA
41,NA,ITI,NA,1852
41,NA,test,4,NA
41,NA,ITI,NA,1962
41,NA,test,3,NA
41,NA,ITI,NA,1422
41,NA,test,3,NA
41,NA,ITI,NA,1845
41,NA,test,3,NA
41,NA,ITI,NA,1553
41,NA,test,4,NA
41,NA,ITI,NA,1475
41,NA,test,3,NA
41,NA,ITI,NA,1868
41,NA,test,3,NA
41,NA,ITI,NA,1667
41,NA,test,3,NA
41,NA,ITI,NA,1486
41,NA,test,3,NA
41,NA,ITI,NA,1114
41,NA,test,3,NA
41,NA,ITI,NA,1163
41,NA,test,3,NA
41,NA,ITI,NA,1525
41,NA,test,3,NA
41,NA,ITI,NA,1062
41,NA,test,3,NA
41,NA,ITI,NA,1787
41,NA,test,4,NA
41,NA,ITI,NA,1983
41,NA,test,3,NA
41,NA,ITI,NA,1761
41,NA,test,3,NA
41,NA,ITI,NA,1651
41,NA,test,3,NA
41,NA,ITI,NA,1845
41,NA,test,3,NA
41,NA,ITI,NA,1245
41,NA,test,3,NA
41,NA,ITI,NA,1652
41,NA,test,3,NA
41,NA,ITI,NA,1774
41,NA,test,3,NA
41,NA,ITI,NA,1372
41,NA,test,3,NA
41,NA,ITI,NA,1271
41,NA,test,4,NA
41,NA,ITI,NA,1020
41,NA,test,3,NA
41,NA,ITI,NA,1556
41,NA,test,3,NA
41,NA,ITI,NA,1939
41,NA,test,3,NA
41,NA,ITI,NA,1597
41,NA,test,3,NA
41,NA,ITI,NA,1872
41,NA,test,3,NA
41,NA,ITI,NA,1167
41,NA,test,3,NA
41,NA,ITI,NA,1213
41,NA,test,3,NA
41,NA,ITI,NA,1944
41,NA,test,3,NA
41,NA,ITI,NA,1025
41,NA,test,3,NA
41,NA,ITI,NA,1967
41,NA,test,3,NA
41,NA,ITI,NA,1911
41,NA,test,3,NA
41,NA,ITI,NA,1302
41,NA,test,3,NA
41,NA,ITI,NA,1224
41,NA,test,3,NA
41,NA,ITI,NA,1199
41,NA,test,3,NA
41,NA,ITI,NA,1709
41,NA,test,3,NA
41,NA,ITI,NA,1145
41,NA,test,3,NA
41,NA,ITI,NA,1137
41,NA,test,4,NA
41,NA,ITI,NA,1765
41,NA,test,3,NA
41,NA,ITI,NA,1851
41,NA,test,3,NA
41,NA,ITI,NA,1737
41,NA,test,4,NA
41,NA,ITI,NA,1544
41,NA,test,3,NA
41,NA,ITI,NA,1819
41,NA,test,3,NA
41,NA,ITI,NA,1949
41,NA,test,3,NA
41,NA,ITI,NA,1423
41,NA,test,3,NA
41,NA,ITI,NA,1031
41,NA,test,3,NA
41,NA,ITI,NA,1265
41,NA,test,3,NA
41,NA,ITI,NA,1838
41,NA,test,3,NA
41,NA,ITI,NA,1973
41,NA,test,3,NA
41,NA,ITI,NA,1678
41,NA,test,3,NA
41,NA,ITI,NA,1565
41,NA,test,3,NA
41,NA,ITI,NA,1118
41,NA,test,3,NA
41,NA,ITI,NA,1155
41,NA,test,3,NA
41,NA,ITI,NA,1328
41,NA,test,3,NA
41,NA,ITI,NA,1718
41,NA,test,3,NA
41,NA,ITI,NA,1326
41,NA,test,3,NA
41,NA,ITI,NA,1707
41,NA,test,3,NA
41,NA,ITI,NA,1308
41,NA,test,4,NA
41,NA,ITI,NA,1824
41,NA,test,3,NA
41,NA,ITI,NA,1476
41,NA,test,3,NA
41,NA,ITI,NA,1603
41,NA,test,3,NA
41,NA,ITI,NA,1513
41,NA,test,3,NA
41,NA,ITI,NA,1718
41,NA,test,3,NA
41,NA,ITI,NA,1543
41,NA,test,3,NA
41,NA,ITI,NA,1968
41,NA,test,3,NA
41,NA,ITI,NA,1293
41,NA,test,4,NA
41,NA,ITI,NA,1137
41,NA,test,3,NA
41,NA,ITI,NA,1777
41,NA,test,3,NA
41,NA,ITI,NA,1660
41,NA,test,3,NA
41,NA,ITI,NA,1900
41,NA,test,3,NA
41,NA,ITI,NA,1628
41,NA,test,3,NA
41,NA,ITI,NA,1715
41,NA,test,3,NA
41,NA,ITI,NA,1296
41,NA,test,3,NA
41,NA,ITI,NA,1609
41,NA,test,3,NA
41,NA,ITI,NA,1723
41,NA,test,3,NA
41,NA,ITI,NA,1258
41,NA,test,3,NA
41,NA,ITI,NA,1734
41,NA,test,3,NA
41,NA,ITI,NA,1403
41,NA,test,3,NA
41,NA,ITI,NA,1363
41,NA,test,3,NA
41,NA,ITI,NA,1017
41,NA,test,3,NA
41,NA,ITI,NA,1229
41,NA,test,3,NA
41,NA,ITI,NA,1181
41,NA,test,3,NA
41,NA,ITI,NA,1710
41,NA,test,3,NA
41,NA,ITI,NA,1981
41,NA,test,3,NA
41,NA,ITI,NA,1107
41,NA,test,3,NA
41,NA,ITI,NA,1675
41,NA,test,4,NA
41,NA,ITI,NA,1524
41,NA,test,3,NA
41,NA,ITI,NA,1000
