Subject Number, Block, Trial Number, Dynomometer Response, Duration
11,NA,ITI,NA,1000
11,study,1,0,1000
11,study,study,NA,NA
11,NA,ITI,NA,1000
11,study,2,0,1500
11,study,study,NA,NA
11,NA,ITI,NA,1000
11,study,3,0,1000
11,study,study,NA,NA
11,NA,ITI,NA,1000
11,study,4,0,1500
11,study,study,NA,NA
11,NA,ITI,NA,1000
11,study,5,0,1000
11,study,study,NA,NA
11,NA,ITI,NA,1000
11,study,6,0,1500
11,study,study,NA,NA
11,NA,ITI,NA,1000
11,study,7,0,1000
11,study,study,NA,NA
11,NA,ITI,NA,1000
11,study,8,0,1500
11,study,study,NA,NA
11,NA,ITI,NA,1000
11,study,9,0,1000
11,study,study,NA,NA
11,NA,ITI,NA,1000
11,study,10,0,1500
11,study,study,NA,NA
11,NA,End of Block,NA,NA
11,NA,ITI,NA,1000
11,NA,Break,NA,NA
11,NA,ITI,NA,1000
11,NA,ITI,NA,1180
11,NA,Practice,4,NA
11,NA,ITI,NA,1019
11,NA,Practice,4,NA
11,NA,ITI,NA,1463
11,NA,Practice,3,NA
11,NA,ITI,NA,1725
11,NA,Practice,4,NA
11,NA,ITI,NA,1420
11,NA,Practice,3,NA
11,NA,ITI,NA,1485
11,NA,Practice,0,NA
11,NA,ITI,NA,1012
11,NA,Practice,4,NA
11,NA,ITI,NA,1487
11,NA,Practice,4,NA
11,NA,ITI,NA,1942
11,NA,Practice,3,NA
11,NA,ITI,NA,1851
11,NA,Practice,4,NA
11,NA,ITI,NA,1730
11,NA,Practice,4,NA
11,NA,ITI,NA,1108
11,NA,Practice,4,NA
11,NA,ITI,NA,1894
11,NA,Practice,4,NA
11,NA,ITI,NA,1858
11,NA,Practice,4,NA
11,NA,ITI,NA,1165
11,NA,Practice,4,NA
11,NA,ITI,NA,1632
11,NA,Practice,4,NA
11,NA,ITI,NA,1020
11,NA,Practice,4,NA
11,NA,ITI,NA,1116
11,NA,Practice,4,NA
11,NA,ITI,NA,1316
11,NA,Practice,4,NA
11,NA,ITI,NA,1158
11,NA,Practice,4,NA
11,NA,ITI,NA,1759
11,NA,Practice,4,NA
11,NA,ITI,NA,1819
11,NA,Practice,3,NA
11,NA,ITI,NA,1344
11,NA,Practice,3,NA
11,NA,ITI,NA,1319
11,NA,Practice,4,NA
11,NA,ITI,NA,1111
11,NA,Practice,4,NA
11,NA,Break,NA,NA
11,NA,ITI,NA,1000
11,NA,ITI,NA,1549
11,NA,test,3,NA
11,NA,ITI,NA,1419
11,NA,test,3,NA
11,NA,ITI,NA,1396
11,NA,test,3,NA
11,NA,ITI,NA,1367
11,NA,test,3,NA
11,NA,ITI,NA,1409
11,NA,test,4,NA
11,NA,ITI,NA,1169
11,NA,test,4,NA
11,NA,ITI,NA,1924
11,NA,test,3,NA
11,NA,ITI,NA,1794
11,NA,test,3,NA
11,NA,ITI,NA,1741
11,NA,test,4,NA
11,NA,ITI,NA,1833
11,NA,test,3,NA
11,NA,ITI,NA,1319
11,NA,test,3,NA
11,NA,ITI,NA,1734
11,NA,test,3,NA
11,NA,ITI,NA,1024
11,NA,test,4,NA
11,NA,ITI,NA,1876
11,NA,test,4,NA
11,NA,ITI,NA,1862
11,NA,test,4,NA
11,NA,ITI,NA,1648
11,NA,test,4,NA
11,NA,ITI,NA,1258
11,NA,test,3,NA
11,NA,ITI,NA,1696
11,NA,test,4,NA
11,NA,ITI,NA,1515
11,NA,test,4,NA
11,NA,ITI,NA,1193
11,NA,test,4,NA
11,NA,ITI,NA,1196
11,NA,test,4,NA
11,NA,ITI,NA,1768
11,NA,test,4,NA
11,NA,ITI,NA,1513
11,NA,test,4,NA
11,NA,ITI,NA,1334
11,NA,test,3,NA
11,NA,ITI,NA,1036
11,NA,test,4,NA
11,NA,ITI,NA,1438
11,NA,test,4,NA
11,NA,ITI,NA,1595
11,NA,test,3,NA
11,NA,ITI,NA,1319
11,NA,test,3,NA
11,NA,ITI,NA,1107
11,NA,test,4,NA
11,NA,ITI,NA,1568
11,NA,test,4,NA
11,NA,ITI,NA,1209
11,NA,test,3,NA
11,NA,ITI,NA,1659
11,NA,test,3,NA
11,NA,ITI,NA,1861
11,NA,test,4,NA
11,NA,ITI,NA,1576
11,NA,test,3,NA
11,NA,ITI,NA,1712
11,NA,test,3,NA
11,NA,ITI,NA,1318
11,NA,test,3,NA
11,NA,ITI,NA,1255
11,NA,test,3,NA
11,NA,ITI,NA,1218
11,NA,test,3,NA
11,NA,ITI,NA,1725
11,NA,test,3,NA
11,NA,ITI,NA,1845
11,NA,test,3,NA
11,NA,ITI,NA,1914
11,NA,test,3,NA
11,NA,ITI,NA,1302
11,NA,test,3,NA
11,NA,ITI,NA,1877
11,NA,test,3,NA
11,NA,ITI,NA,1438
11,NA,test,3,NA
11,NA,ITI,NA,1808
11,NA,test,3,NA
11,NA,ITI,NA,1091
11,NA,test,4,NA
11,NA,ITI,NA,1163
11,NA,test,4,NA
11,NA,ITI,NA,1301
11,NA,test,3,NA
11,NA,ITI,NA,1351
11,NA,test,3,NA
11,NA,ITI,NA,1085
11,NA,test,4,NA
11,NA,ITI,NA,1164
11,NA,test,3,NA
