Subject Number, Block, Trial Number, Dynomometer Response, Duration
42,NA,ITI,NA,1000
42,study,1,1,1000
42,study,study,NA,NA
42,NA,ITI,NA,1000
42,study,2,0,1500
42,study,study,NA,NA
42,NA,ITI,NA,1000
42,study,3,0,1000
42,study,study,NA,NA
42,NA,ITI,NA,1000
42,study,4,0,1500
42,study,study,NA,NA
42,NA,ITI,NA,1000
42,study,5,0,1000
42,study,study,NA,NA
42,NA,ITI,NA,1000
42,study,6,0,1500
42,study,study,NA,NA
42,NA,ITI,NA,1000
42,study,7,0,1000
42,study,study,NA,NA
42,NA,ITI,NA,1000
42,study,8,0,1500
42,study,study,NA,NA
42,NA,ITI,NA,1000
42,study,9,0,1000
42,study,study,NA,NA
42,NA,ITI,NA,1000
42,study,10,0,1500
42,study,study,NA,NA
42,NA,End of Block,NA,NA
42,NA,ITI,NA,1000
42,NA,Break,NA,NA
42,NA,ITI,NA,1000
42,NA,ITI,NA,1374
42,NA,Practice,3,NA
42,NA,ITI,NA,1951
42,NA,Practice,4,NA
42,NA,ITI,NA,1732
42,NA,Practice,3,NA
42,NA,ITI,NA,1599
42,NA,Practice,3,NA
42,NA,ITI,NA,1156
42,NA,Practice,4,NA
42,NA,ITI,NA,1156
42,NA,Practice,4,NA
42,NA,ITI,NA,1058
42,NA,Practice,4,NA
42,NA,ITI,NA,1867
42,NA,Practice,4,NA
42,NA,ITI,NA,1601
42,NA,Practice,4,NA
42,NA,ITI,NA,1708
42,NA,Practice,3,NA
42,NA,ITI,NA,1020
42,NA,Practice,4,NA
42,NA,ITI,NA,1970
42,NA,Practice,3,NA
42,NA,ITI,NA,1833
42,NA,Practice,3,NA
42,NA,ITI,NA,1212
42,NA,Practice,4,NA
42,NA,ITI,NA,1182
42,NA,Practice,3,NA
42,NA,ITI,NA,1183
42,NA,Practice,3,NA
42,NA,ITI,NA,1304
42,NA,Practice,3,NA
42,NA,ITI,NA,1525
42,NA,Practice,4,NA
42,NA,ITI,NA,1432
42,NA,Practice,4,NA
42,NA,ITI,NA,1291
42,NA,Practice,3,NA
42,NA,ITI,NA,1612
42,NA,Practice,4,NA
42,NA,ITI,NA,1139
42,NA,Practice,4,NA
42,NA,ITI,NA,1292
42,NA,Practice,3,NA
42,NA,ITI,NA,1366
42,NA,Practice,4,NA
42,NA,ITI,NA,1456
42,NA,Practice,4,NA
42,NA,Break,NA,NA
42,NA,ITI,NA,1000
42,NA,ITI,NA,1095
42,NA,test,3,NA
42,NA,ITI,NA,1063
42,NA,test,3,NA
42,NA,ITI,NA,1371
42,NA,test,4,NA
42,NA,ITI,NA,1311
42,NA,test,3,NA
42,NA,ITI,NA,1669
42,NA,test,3,NA
42,NA,ITI,NA,1325
42,NA,test,3,NA
42,NA,ITI,NA,1666
42,NA,test,4,NA
42,NA,ITI,NA,1730
42,NA,test,3,NA
42,NA,ITI,NA,1591
42,NA,test,4,NA
42,NA,ITI,NA,1638
42,NA,test,3,NA
42,NA,ITI,NA,1274
42,NA,test,4,NA
42,NA,ITI,NA,1888
42,NA,test,4,NA
42,NA,ITI,NA,1561
42,NA,test,4,NA
42,NA,ITI,NA,1472
42,NA,test,4,NA
42,NA,ITI,NA,1383
42,NA,test,4,NA
42,NA,ITI,NA,1119
42,NA,test,4,NA
42,NA,ITI,NA,1972
42,NA,test,3,NA
42,NA,ITI,NA,1713
42,NA,test,4,NA
42,NA,ITI,NA,1849
42,NA,test,3,NA
42,NA,ITI,NA,1761
42,NA,test,4,NA
42,NA,ITI,NA,1722
42,NA,test,3,NA
42,NA,ITI,NA,1561
42,NA,test,4,NA
42,NA,ITI,NA,1236
42,NA,test,3,NA
42,NA,ITI,NA,1771
42,NA,test,4,NA
42,NA,ITI,NA,1256
42,NA,test,4,NA
42,NA,ITI,NA,1494
42,NA,test,4,NA
42,NA,ITI,NA,1040
42,NA,test,4,NA
42,NA,ITI,NA,1523
42,NA,test,3,NA
42,NA,ITI,NA,1711
42,NA,test,3,NA
42,NA,ITI,NA,1427
42,NA,test,4,NA
42,NA,ITI,NA,1111
42,NA,test,3,NA
42,NA,ITI,NA,1025
42,NA,test,4,NA
42,NA,ITI,NA,1439
42,NA,test,4,NA
42,NA,ITI,NA,1107
42,NA,test,3,NA
42,NA,ITI,NA,1201
42,NA,test,4,NA
42,NA,ITI,NA,1031
42,NA,test,4,NA
42,NA,ITI,NA,1896
42,NA,test,3,NA
42,NA,ITI,NA,1637
42,NA,test,4,NA
42,NA,ITI,NA,1475
42,NA,test,4,NA
42,NA,ITI,NA,1314
42,NA,test,4,NA
42,NA,ITI,NA,1563
42,NA,test,4,NA
42,NA,ITI,NA,1509
42,NA,test,4,NA
42,NA,ITI,NA,1696
42,NA,test,3,NA
42,NA,ITI,NA,1908
42,NA,test,4,NA
42,NA,ITI,NA,1139
42,NA,test,4,NA
42,NA,ITI,NA,1249
42,NA,test,4,NA
42,NA,ITI,NA,1605
42,NA,test,4,NA
42,NA,ITI,NA,1410
42,NA,test,4,NA
42,NA,ITI,NA,1540
42,NA,test,3,NA
42,NA,ITI,NA,1756
42,NA,test,3,NA
42,NA,ITI,NA,1203
42,NA,test,4,NA
42,NA,ITI,NA,1229
42,NA,test,3,NA
42,NA,ITI,NA,1943
42,NA,test,4,NA
42,NA,ITI,NA,1077
42,NA,test,4,NA
42,NA,ITI,NA,1599
42,NA,test,4,NA
42,NA,ITI,NA,1290
42,NA,test,4,NA
42,NA,ITI,NA,1695
42,NA,test,3,NA
42,NA,ITI,NA,1161
42,NA,test,3,NA
42,NA,ITI,NA,1881
42,NA,test,4,NA
42,NA,ITI,NA,1930
42,NA,test,3,NA
42,NA,ITI,NA,1624
42,NA,test,4,NA
42,NA,ITI,NA,1808
42,NA,test,4,NA
42,NA,ITI,NA,1295
42,NA,test,4,NA
42,NA,ITI,NA,1634
42,NA,test,4,NA
42,NA,ITI,NA,1105
42,NA,test,4,NA
42,NA,ITI,NA,1872
42,NA,test,4,NA
42,NA,ITI,NA,1456
42,NA,test,3,NA
42,NA,ITI,NA,1804
42,NA,test,4,NA
42,NA,ITI,NA,1218
42,NA,test,3,NA
42,NA,ITI,NA,1186
42,NA,test,3,NA
42,NA,ITI,NA,1416
42,NA,test,4,NA
42,NA,ITI,NA,1893
