Subject Number, Block, Trial Number, Dynomometer Response, Duration
33,NA,ITI,NA,1000
33,study,1,0,1000
33,study,study,NA,NA
33,NA,ITI,NA,1000
33,study,2,0,1500
33,study,study,NA,NA
33,NA,ITI,NA,1000
33,study,3,0,1000
33,study,study,NA,NA
33,NA,ITI,NA,1000
33,study,4,0,1500
33,study,study,NA,NA
33,NA,ITI,NA,1000
33,study,5,0,1000
33,study,study,NA,NA
33,NA,ITI,NA,1000
33,study,6,0,1500
33,study,study,NA,NA
33,NA,ITI,NA,1000
33,study,7,0,1000
33,study,study,NA,NA
33,NA,ITI,NA,1000
33,study,8,0,1500
33,study,study,NA,NA
33,NA,ITI,NA,1000
33,study,9,0,1000
33,study,study,NA,NA
33,NA,ITI,NA,1000
33,study,10,0,1500
33,study,study,NA,NA
33,NA,End of Block,NA,NA
33,NA,ITI,NA,1000
33,NA,Break,NA,NA
33,NA,ITI,NA,1000
33,NA,ITI,NA,1248
33,NA,Practice,4,NA
33,NA,ITI,NA,1450
33,NA,Practice,4,NA
33,NA,ITI,NA,1411
33,NA,Practice,4,NA
33,NA,ITI,NA,1260
33,NA,Practice,3,NA
33,NA,ITI,NA,1871
33,NA,Practice,4,NA
33,NA,ITI,NA,1185
33,NA,Practice,4,NA
33,NA,ITI,NA,1019
33,NA,Practice,4,NA
33,NA,ITI,NA,1954
33,NA,Practice,4,NA
33,NA,ITI,NA,1681
33,NA,Practice,3,NA
33,NA,ITI,NA,1487
33,NA,Practice,4,NA
33,NA,ITI,NA,1965
33,NA,Practice,3,NA
33,NA,ITI,NA,1393
33,NA,Practice,4,NA
33,NA,ITI,NA,1079
33,NA,Practice,3,NA
33,NA,ITI,NA,1351
33,NA,Practice,3,NA
33,NA,ITI,NA,1163
33,NA,Practice,4,NA
33,NA,ITI,NA,1984
33,NA,Practice,4,NA
33,NA,ITI,NA,1881
33,NA,Practice,3,NA
33,NA,ITI,NA,1494
33,NA,Practice,3,NA
33,NA,ITI,NA,1401
33,NA,Practice,3,NA
33,NA,ITI,NA,1451
33,NA,Practice,4,NA
33,NA,ITI,NA,1721
33,NA,Practice,4,NA
33,NA,ITI,NA,1248
33,NA,Practice,3,NA
33,NA,ITI,NA,1623
33,NA,Practice,3,NA
33,NA,ITI,NA,1142
33,NA,Practice,3,NA
33,NA,ITI,NA,1201
33,NA,Practice,4,NA
33,NA,Break,NA,NA
33,NA,ITI,NA,1000
33,NA,ITI,NA,1183
33,NA,test,3,NA
33,NA,ITI,NA,1899
33,NA,test,3,NA
33,NA,ITI,NA,1519
33,NA,test,4,NA
33,NA,ITI,NA,1689
33,NA,test,3,NA
33,NA,ITI,NA,1425
33,NA,test,3,NA
33,NA,ITI,NA,1286
33,NA,test,4,NA
33,NA,ITI,NA,1180
33,NA,test,4,NA
33,NA,ITI,NA,1421
33,NA,test,3,NA
33,NA,ITI,NA,1383
33,NA,test,3,NA
33,NA,ITI,NA,1568
33,NA,test,4,NA
33,NA,ITI,NA,1381
33,NA,test,4,NA
33,NA,ITI,NA,1968
33,NA,test,3,NA
33,NA,ITI,NA,1960
33,NA,test,4,NA
33,NA,ITI,NA,1561
33,NA,test,3,NA
33,NA,ITI,NA,1222
33,NA,test,4,NA
33,NA,ITI,NA,1973
33,NA,test,3,NA
33,NA,ITI,NA,1095
33,NA,test,3,NA
33,NA,ITI,NA,1171
33,NA,test,4,NA
33,NA,ITI,NA,1615
33,NA,test,4,NA
33,NA,ITI,NA,1236
33,NA,test,3,NA
33,NA,ITI,NA,1227
33,NA,test,4,NA
33,NA,ITI,NA,1566
33,NA,test,4,NA
33,NA,ITI,NA,1659
33,NA,test,4,NA
33,NA,ITI,NA,1653
33,NA,test,4,NA
33,NA,ITI,NA,1170
33,NA,test,3,NA
33,NA,ITI,NA,1964
33,NA,test,3,NA
33,NA,ITI,NA,1151
33,NA,test,3,NA
33,NA,ITI,NA,1886
33,NA,test,4,NA
33,NA,ITI,NA,1718
33,NA,test,4,NA
33,NA,ITI,NA,1368
33,NA,test,4,NA
33,NA,ITI,NA,1530
33,NA,test,4,NA
33,NA,ITI,NA,1342
33,NA,test,4,NA
33,NA,ITI,NA,1433
33,NA,test,3,NA
33,NA,ITI,NA,1851
33,NA,test,3,NA
33,NA,ITI,NA,1871
33,NA,test,3,NA
33,NA,ITI,NA,1389
33,NA,test,3,NA
33,NA,ITI,NA,1729
33,NA,test,4,NA
33,NA,ITI,NA,1667
33,NA,test,3,NA
33,NA,ITI,NA,1811
33,NA,test,4,NA
33,NA,ITI,NA,1444
33,NA,test,4,NA
33,NA,ITI,NA,1827
33,NA,test,3,NA
33,NA,ITI,NA,1609
33,NA,test,4,NA
33,NA,ITI,NA,1320
33,NA,test,4,NA
33,NA,ITI,NA,1785
33,NA,test,3,NA
33,NA,ITI,NA,1873
33,NA,test,4,NA
33,NA,ITI,NA,1968
33,NA,test,4,NA
33,NA,ITI,NA,1158
33,NA,test,3,NA
33,NA,ITI,NA,1373
33,NA,test,4,NA
33,NA,ITI,NA,1442
33,NA,test,3,NA
33,NA,ITI,NA,1673
33,NA,test,4,NA
33,NA,ITI,NA,1983
33,NA,test,3,NA
33,NA,ITI,NA,1808
33,NA,test,3,NA
33,NA,ITI,NA,1030
33,NA,test,4,NA
33,NA,ITI,NA,1698
33,NA,test,4,NA
33,NA,ITI,NA,1213
33,NA,test,4,NA
33,NA,ITI,NA,1806
33,NA,test,4,NA
33,NA,ITI,NA,1979
33,NA,test,3,NA
33,NA,ITI,NA,1267
33,NA,test,4,NA
33,NA,ITI,NA,1082
33,NA,test,3,NA
33,NA,ITI,NA,1318
33,NA,test,3,NA
33,NA,ITI,NA,1093
33,NA,test,3,NA
33,NA,ITI,NA,1160
33,NA,test,3,NA
33,NA,ITI,NA,1518
33,NA,test,3,NA
33,NA,ITI,NA,1816
33,NA,test,3,NA
33,NA,ITI,NA,1219
33,NA,test,3,NA
33,NA,ITI,NA,1873
33,NA,test,3,NA
33,NA,ITI,NA,1135
33,NA,test,3,NA
33,NA,ITI,NA,1826
33,NA,test,3,NA
33,NA,ITI,NA,1868
33,NA,test,4,NA
33,NA,ITI,NA,1755
33,NA,test,3,NA
33,NA,ITI,NA,1709
33,NA,test,4,NA
33,NA,ITI,NA,1517
33,NA,test,4,NA
33,NA,ITI,NA,1668
33,NA,test,4,NA
33,NA,ITI,NA,1553
33,NA,test,4,NA
33,NA,ITI,NA,1830
33,NA,test,3,NA
33,NA,ITI,NA,1558
33,NA,test,4,NA
33,NA,ITI,NA,1568
33,NA,test,3,NA
33,NA,ITI,NA,1994
33,NA,test,4,NA
33,NA,ITI,NA,1264
33,NA,test,3,NA
33,NA,ITI,NA,1987
33,NA,test,4,NA
33,NA,ITI,NA,1261
33,NA,test,4,NA
33,NA,ITI,NA,1510
33,NA,test,4,NA
33,NA,ITI,NA,1191
33,NA,test,3,NA
33,NA,ITI,NA,1756
33,NA,test,3,NA
33,NA,ITI,NA,1619
33,NA,test,3,NA
33,NA,ITI,NA,1937
33,NA,test,3,NA
33,NA,ITI,NA,1994
33,NA,test,4,NA
33,NA,ITI,NA,1702
33,NA,test,4,NA
33,NA,ITI,NA,1249
33,NA,test,4,NA
33,NA,ITI,NA,1432
33,NA,test,4,NA
33,NA,ITI,NA,1338
33,NA,test,3,NA
33,NA,ITI,NA,1122
33,NA,test,4,NA
33,NA,ITI,NA,1648
33,NA,test,3,NA
33,NA,ITI,NA,1630
33,NA,test,4,NA
33,NA,ITI,NA,1494
33,NA,test,4,NA
33,NA,ITI,NA,1768
33,NA,test,4,NA
33,NA,ITI,NA,1089
33,NA,test,3,NA
33,NA,ITI,NA,1263
33,NA,test,4,NA
33,NA,ITI,NA,1218
33,NA,test,4,NA
33,NA,ITI,NA,1123
33,NA,test,3,NA
33,NA,ITI,NA,1416
33,NA,test,4,NA
33,NA,ITI,NA,1723
33,NA,test,4,NA
33,NA,ITI,NA,1613
33,NA,test,4,NA
33,NA,ITI,NA,1269
33,NA,test,4,NA
33,NA,ITI,NA,1327
33,NA,test,4,NA
33,NA,ITI,NA,1264
33,NA,test,4,NA
33,NA,ITI,NA,1908
33,NA,test,4,NA
33,NA,ITI,NA,1201
33,NA,test,3,NA
33,NA,ITI,NA,1918
33,NA,test,3,NA
33,NA,ITI,NA,1858
33,NA,test,3,NA
33,NA,ITI,NA,1677
33,NA,test,3,NA
33,NA,ITI,NA,1563
33,NA,test,3,NA
33,NA,ITI,NA,1573
33,NA,test,4,NA
33,NA,ITI,NA,1269
33,NA,test,4,NA
33,NA,ITI,NA,1066
33,NA,test,4,NA
33,NA,ITI,NA,1000
33,NA,ITI,NA,1268
33,NA,test,4,NA
33,NA,ITI,NA,1527
33,NA,test,4,NA
33,NA,ITI,NA,1663
33,NA,test,4,NA
33,NA,ITI,NA,1828
33,NA,test,3,NA
33,NA,ITI,NA,1298
33,NA,test,3,NA
33,NA,ITI,NA,1939
33,NA,test,3,NA
33,NA,ITI,NA,1401
33,NA,test,4,NA
33,NA,ITI,NA,1534
33,NA,test,3,NA
33,NA,ITI,NA,1084
33,NA,test,4,NA
33,NA,ITI,NA,1530
33,NA,test,3,NA
33,NA,ITI,NA,1981
33,NA,test,3,NA
33,NA,ITI,NA,1456
33,NA,test,3,NA
33,NA,ITI,NA,1509
33,NA,test,4,NA
33,NA,ITI,NA,1449
33,NA,test,3,NA
33,NA,ITI,NA,1079
33,NA,test,4,NA
33,NA,ITI,NA,1168
33,NA,test,4,NA
33,NA,ITI,NA,1312
33,NA,test,3,NA
33,NA,ITI,NA,1377
33,NA,test,4,NA
33,NA,ITI,NA,1845
33,NA,test,3,NA
33,NA,ITI,NA,1938
33,NA,test,3,NA
33,NA,ITI,NA,1702
33,NA,test,4,NA
33,NA,ITI,NA,1597
33,NA,test,3,NA
33,NA,ITI,NA,1705
33,NA,test,4,NA
33,NA,ITI,NA,1559
33,NA,test,4,NA
33,NA,ITI,NA,1339
33,NA,test,3,NA
33,NA,ITI,NA,1935
33,NA,test,4,NA
33,NA,ITI,NA,1930
33,NA,test,3,NA
33,NA,ITI,NA,1531
33,NA,test,3,NA
33,NA,ITI,NA,1364
33,NA,test,3,NA
33,NA,ITI,NA,1782
33,NA,test,4,NA
33,NA,ITI,NA,1471
33,NA,test,3,NA
33,NA,ITI,NA,1640
33,NA,test,4,NA
33,NA,ITI,NA,1970
33,NA,test,4,NA
33,NA,ITI,NA,1002
33,NA,test,4,NA
33,NA,ITI,NA,1784
33,NA,test,3,NA
33,NA,ITI,NA,1503
33,NA,test,3,NA
33,NA,ITI,NA,1912
33,NA,test,4,NA
33,NA,ITI,NA,1688
33,NA,test,4,NA
33,NA,ITI,NA,1997
33,NA,test,4,NA
33,NA,ITI,NA,1047
33,NA,test,4,NA
33,NA,ITI,NA,1535
33,NA,test,3,NA
33,NA,ITI,NA,1292
33,NA,test,3,NA
33,NA,ITI,NA,1046
33,NA,test,3,NA
33,NA,ITI,NA,1685
33,NA,test,4,NA
33,NA,ITI,NA,1562
33,NA,test,4,NA
33,NA,ITI,NA,1858
33,NA,test,4,NA
33,NA,ITI,NA,1084
33,NA,test,4,NA
33,NA,ITI,NA,1078
33,NA,test,4,NA
33,NA,ITI,NA,1820
33,NA,test,4,NA
33,NA,ITI,NA,1407
33,NA,test,3,NA
33,NA,ITI,NA,1789
33,NA,test,4,NA
33,NA,ITI,NA,1916
33,NA,test,4,NA
33,NA,ITI,NA,1243
33,NA,test,3,NA
33,NA,ITI,NA,1302
33,NA,test,4,NA
33,NA,ITI,NA,1597
33,NA,test,3,NA
33,NA,ITI,NA,1464
33,NA,test,3,NA
33,NA,ITI,NA,1228
33,NA,test,4,NA
33,NA,ITI,NA,1716
33,NA,test,3,NA
33,NA,ITI,NA,1976
33,NA,test,3,NA
33,NA,ITI,NA,1290
33,NA,test,3,NA
33,NA,ITI,NA,1519
33,NA,test,3,NA
33,NA,ITI,NA,1736
33,NA,test,3,NA
33,NA,ITI,NA,1132
33,NA,test,3,NA
33,NA,ITI,NA,1400
33,NA,test,3,NA
33,NA,ITI,NA,1929
33,NA,test,3,NA
33,NA,ITI,NA,1313
33,NA,test,4,NA
33,NA,ITI,NA,1919
33,NA,test,4,NA
33,NA,ITI,NA,1368
33,NA,test,3,NA
33,NA,ITI,NA,1650
33,NA,test,4,NA
33,NA,ITI,NA,1146
33,NA,test,4,NA
33,NA,ITI,NA,1064
33,NA,test,4,NA
33,NA,ITI,NA,1568
33,NA,test,3,NA
33,NA,ITI,NA,1425
33,NA,test,3,NA
33,NA,ITI,NA,1840
33,NA,test,4,NA
33,NA,ITI,NA,1426
33,NA,test,3,NA
33,NA,ITI,NA,1048
33,NA,test,4,NA
33,NA,ITI,NA,1394
33,NA,test,4,NA
33,NA,ITI,NA,1840
33,NA,test,4,NA
33,NA,ITI,NA,1353
33,NA,test,4,NA
33,NA,ITI,NA,1650
33,NA,test,4,NA
33,NA,ITI,NA,1538
33,NA,test,3,NA
33,NA,ITI,NA,1470
33,NA,test,3,NA
33,NA,ITI,NA,1154
33,NA,test,3,NA
33,NA,ITI,NA,1976
33,NA,test,3,NA
33,NA,ITI,NA,1905
33,NA,test,3,NA
33,NA,ITI,NA,1653
33,NA,test,3,NA
33,NA,ITI,NA,1808
33,NA,test,4,NA
33,NA,ITI,NA,1173
33,NA,test,4,NA
33,NA,ITI,NA,1779
33,NA,test,3,NA
33,NA,ITI,NA,1253
33,NA,test,4,NA
33,NA,ITI,NA,1376
33,NA,test,3,NA
33,NA,ITI,NA,1891
33,NA,test,3,NA
33,NA,ITI,NA,1967
33,NA,test,3,NA
33,NA,ITI,NA,1070
33,NA,test,4,NA
33,NA,ITI,NA,1912
33,NA,test,3,NA
33,NA,ITI,NA,1370
33,NA,test,3,NA
33,NA,ITI,NA,1405
33,NA,test,3,NA
33,NA,ITI,NA,1603
33,NA,test,3,NA
33,NA,ITI,NA,1770
33,NA,test,3,NA
33,NA,ITI,NA,1985
33,NA,test,4,NA
33,NA,ITI,NA,1759
33,NA,test,4,NA
33,NA,ITI,NA,1918
33,NA,test,4,NA
33,NA,ITI,NA,1136
33,NA,test,4,NA
33,NA,ITI,NA,1282
33,NA,test,3,NA
33,NA,ITI,NA,1301
33,NA,test,3,NA
33,NA,ITI,NA,1020
33,NA,test,3,NA
33,NA,ITI,NA,1674
33,NA,test,3,NA
33,NA,ITI,NA,1713
33,NA,test,3,NA
33,NA,ITI,NA,1569
33,NA,test,3,NA
33,NA,ITI,NA,1970
33,NA,test,3,NA
33,NA,ITI,NA,1776
33,NA,test,3,NA
33,NA,ITI,NA,1145
33,NA,test,4,NA
33,NA,ITI,NA,1617
33,NA,test,3,NA
33,NA,ITI,NA,1007
33,NA,test,3,NA
33,NA,ITI,NA,1821
33,NA,test,3,NA
33,NA,ITI,NA,1000
